Filename,Segment,F1,F2
JAHDUKAR-sorcererwitch,ah22,579.1842927450227,1015.609288086074
JARAS-bell,a22,582.0948453360251,1569.2080512391472
JARAS-bell,a22,630.8116626426878,1505.6543240045871
JARUBTA-trialtestexperiment,a22,584.9390938536848,1364.3407910584212
JARUBTA-trialtestexperiment,ah22,595.4820906693926,1048.6665976184331
JAWAHIR-gems,a22,590.0870888751559,1338.7224919549465
JAWAHIR-gems,ah22,558.254776549422,976.6514591158852
JAWAHIR-gems,i22,367.0601550786028,1911.607699842884
JORE-urine,o22,418.215684723213,965.9174766768251
JORE-urine,e22,470.44208689800917,1791.6477889340222
KALO-bride,a22,664.1786034389534,1175.558264708057
KALO-bride,o22,464.28697362937527,912.4401704645629
KALO-bride,a22,659.0613911624621,1179.7801645049108
KALO-bride,o22,452.58981189601377,978.423194417553
KORULAH-blindness,o22,409.8255518285421,916.9504252771553
KORULAH-blindness,u22,356.1704970675341,977.2782745849195
KORULAH-blindness,ah22,575.3808559391628,1027.2041493493539
LOTI-playboydandy,o22,418.557172007084,869.1045940317326
LOTI-playboydandy,i22,276.07882969298464,2171.0357292373988
LUWAH-inside,u22,372.4722960456119,931.0921825566345
LUWAH-inside,ah22,594.1898376221044,961.6988840044938
MALAX-angel,a22,635.2652058711117,1130.0498712167023
MALAX-angel,a22,680.6044043181611,1211.0467524976214
MALU-theirvillage,a22,639.9921091321078,1155.9699968725645
MALU-theirvillage,u22,342.8408875110346,809.4143320042999
MRELE-hegrazed,e22,529.5022391311745,1604.845201884401
MRELE-hegrazed,e22,522.3402099585712,1795.0808813785666
MXXRAD-desire,a22,646.8409217340127,1280.0434932981666
NAHJAHRAH-carpenter,a22,635.1796507745178,1430.4330549136612
NAHJAHRAH-carpenter,ah22,589.4839345514976,1036.9698869572169
NAHJAHRAH-carpenter,ah22,644.5055221796846,1073.6914758335015
NATORE-toguard,a22,676.186674891929,1364.7178412114943
NATORE-toguard,o22,401.74748573138356,909.3584342932493
NATORE-toguard,e22,460.21874830341795,1807.6390451620898
ORDU-armycamp,o22,402.7052194091031,916.5070184376153
ORDU-armycamp,u22,357.74144926319536,975.2953835811776
PAGAH-cowshedstable,a22,627.5401349174505,1261.4252250659179
PAGAH-cowshedstable,ah22,575.4896827394185,1083.8026700778141
PASOXE-joy,a22,664.9231363293876,1329.4985220836124
PASOXE-joy,o22,417.0908655849753,862.8250602793886
PASOXE-joy,e22,482.166642004458,1841.1816719948874
PXXLIMAH-crookeddishonest,i22,301.35253616602415,2183.532576651245
PXXLIMAH-crookeddishonest,ah22,564.2017058612711,998.2572419625674
PYAHLAH-glass,ah22,578.600921847174,1022.3880910748848
PYAHLAH-glass,ah22,607.0297185524838,1017.899923838987
QETRAH-knot,e22,544.8448900761647,1367.1430570252026
QETRAH-knot,ah22,600.8209021189208,1044.7144615313075
QEXLLUGH-service,u22,367.0136789180465,807.7934493843026
QEXNYAH-bruise,ah22,591.9252412175521,1044.426691335329
QEXTTAH-piece,ah22,635.77697080077,1013.697847517122
QIRAH-tar,i22,338.8705039784175,2252.4921478173387
QIRAH-tar,ah22,592.904960589392,1033.0453400562449
RABTAH-big,a22,688.1872531757814,1254.2734620305666
RABTAH-big,ah22,630.5779603759834,1010.7269078253007
RESHAH-shewakes,e22,455.6159195032385,1804.5026030931606
RESHAH-shewakes,ah22,628.493719037311,1034.3503643119664
RUB-quarter,u22,361.49278608612906,935.1319638264462
RUH-spiritsoul,u22,378.0153352941748,868.5005917220187
RUZI-salary,u22,362.2034431686698,988.4285469122256
RUZI-salary,i22,326.20221922099535,2106.7367807615205
SXXYOT-pepper,o22,447.911126028395,955.3710431904476
TAHLANAH-playergambler,ah22,614.7828930763703,1009.6232880835136
TAHLANAH-playergambler,a22,647.4920216850969,1209.1268943586385
TAHLANAH-playergambler,ah22,587.5443140365259,1101.853883835986
TAHYFAH-tribe,ah22,603.6721645934228,991.340036422619
TENAH-loadburden,e22,459.0925196346832,1829.4893737248472
TENAH-loadburden,ah22,604.7801496872758,1128.1530494288272
