Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
AHRAH-periodinterval.mat	"ah22"	125.343	504.372	756.317	725.587	792.503	751.326	2454.986	2026.809	2773.318	2572.317	
AHRAH-periodinterval.mat	"ah22"	567.825	846.174	789.206	685.547	804.360	876.727	2320.867	2076.852	2603.751	2277.227	
AMRAH-wool.mat	"a22"	1313.664	1488.769	857.477	879.855	888.038	801.143	2084.244	1870.586	2228.682	2120.426	
AMRAH-wool.mat	"ah22"	1840.354	1989.021	716.250	624.825	717.175	807.009	2529.427	2082.969	2676.200	2839.923	
BAHLI-mychild.mat	"ah22"	178.578	507.050	772.498	773.927	780.015	763.393	2799.054	2812.181	2881.058	2704.414	
BAHLI-mychild.mat	"i22"	640.106	854.985	1875.218	1879.863	1437.133	2313.869	2992.152	2922.275	2841.680	3218.470	
BASTAHXAHNAH-placeofrefuge.mat	"a22"	148.070	282.899	928.702	753.577	760.826	1265.648	2140.229	1821.535	1873.714	2716.057	
BASTAHXAHNAH-placeofrefuge.mat	"ah22"	744.241	848.206	798.802	705.075	858.449	834.977	2519.617	2420.450	2531.054	2612.262	
BASTAHXAHNAH-placeofrefuge.mat	"ah22"	1082.126	1327.417	731.506	757.649	766.329	669.933	1512.149	2426.200	935.363	1155.705	
BASTAHXAHNAH-placeofrefuge.mat	"ah22"	1452.500	1626.315	691.110	679.255	676.634	719.726	1508.854	1275.755	1070.095	2160.220	
BATOLE-toempty.mat	"a22"	1027.491	1145.337	845.275	747.895	921.976	868.843	2029.474	1332.097	2561.408	2197.060	
BATOLE-toempty.mat	"o22"	1350.584	1554.849	664.267	668.628	646.073	678.134	2430.612	2324.537	2415.705	2553.811	
BATOLE-toempty.mat	"e22"	1653.054	2002.661	648.421	928.543	469.646	542.697	2248.505	2214.866	2274.874	2255.266	
BEXLWAHNE-pockets.mat	"ex22"	166.686	282.342	731.327	741.889	748.970	703.973	2332.426	2104.530	2422.826	2471.458	
BEXLWAHNE-pockets.mat	"a22"	658.543	916.545	831.367	778.187	861.331	855.718	1970.134	1623.515	2157.975	2131.208	
BEXLWAHNE-pockets.mat	"e22"	1033.472	1226.656	1455.329	1996.717	1050.338	1333.345	2614.565	2777.154	2425.015	2639.212	
BEXSLAH-onion.mat	"ex22"	251.435	351.175	1015.861	784.071	1028.610	1241.891	2461.876	2346.199	2533.297	2514.985	
BEXSLAH-onion.mat	"ah22"	928.153	1155.409	748.216	738.360	757.492	749.274	1425.145	1117.900	1125.526	2053.907	
BUZ-ice.mat	"u22"	972.922	1343.743	707.550	548.982	707.558	865.648	2271.426	2105.219	2553.801	2164.142	
CHAHLAH-ditch.mat	"ah22"	1398.429	1664.243	721.535	702.565	763.823	699.947	2130.848	2021.425	2946.744	1434.373	
CHAHLAH-ditch.mat	"ah22"	1764.214	1887.434	693.315	624.408	707.187	751.541	1920.982	1252.552	1460.854	3054.048	
CHAHLASAR-bathroom.mat	CHAHLASAR-bathroom.mat	1.000	3039.000	1428.129	1540.393	1234.306	1514.887	2765.067	2900.998	2569.494	2830.012	
CHAHPAHR-postmail.mat	"ah22"	1435.848	1527.290	706.957	734.242	687.560	699.241	1574.143	1513.599	1805.349	1419.284	
CHAHPAHR-postmail.mat	"ah22"	1755.896	1916.307	682.056	688.863	686.893	673.940	1712.907	849.934	1863.109	2433.335	
CHAHRAH-remedywayout.mat	"ah22"	1340.941	1647.729	673.575	643.121	691.853	685.765	1255.283	984.026	1141.920	1633.800	
CHAHRAH-remedywayout.mat	"ah22"	1764.124	2097.788	749.780	773.687	762.341	713.719	1360.996	1973.131	1089.139	1017.884	
CHAHRGUL-squarerectangular.mat	"ah22"	1199.157	1390.843	747.460	663.957	741.025	839.926	2107.113	1093.390	2477.629	2773.707	
CHAHRGUL-squarerectangular.mat	"u22"	1630.229	1946.467	462.542	375.990	482.280	530.381	2095.098	1002.503	2619.418	2685.616	
CHANGA-handfulpalmofthehand.mat	"a22"	1387.822	1510.694	681.722	674.945	626.474	741.300	1955.238	1675.939	1955.595	2232.202	
CHANGA-handfulpalmofthehand.mat	"ah22"	1763.264	2037.072	728.569	550.408	680.552	955.841	1866.797	1491.463	1243.973	2873.071	
CHEXQAH-verythinperson.mat	"ex22"	1226.691	1276.900	750.579	1437.496	410.404	403.369	2148.577	2651.279	2047.999	1758.383	
CHEXQAH-verythinperson.mat	"ah22"	1624.039	1837.863	789.751	722.580	781.291	863.798	1434.671	980.387	989.342	2354.046	
CHIMAH-closedeye.mat	"i22"	1361.728	1540.454	682.571	842.785	709.951	517.265	2674.837	2774.820	2695.345	2564.106	
CHIMAH-closedeye.mat	"ah22"	1665.698	2025.642	641.180	584.625	689.097	650.904	952.180	916.846	919.632	1018.523	
DAHNJI-dripping.mat	"ah22"	205.527	404.739	743.092	743.411	735.506	753.561	1743.850	2358.593	1195.978	1689.433	
DAHNJI-dripping.mat	"i22"	745.657	948.975	2361.212	2353.499	2259.626	2468.474	3135.414	3266.823	3038.982	3103.062	
DOLCHAH-pailbucket.mat	"o22"	516.646	736.627	608.843	619.984	666.356	543.546	2054.842	2092.963	2308.820	1789.366	
DOLCHAH-pailbucket.mat	"ah22"	1064.259	1151.627	729.368	649.205	788.693	750.771	1036.175	1084.652	1024.596	998.510	
DONQEXZ-pig.mat	"o22"	1291.924	1534.802	633.525	647.392	676.590	577.034	1932.486	1980.450	1825.392	1983.239	
DONQEXZ-pig.mat	"ex22"	1754.099	2024.093	717.244	683.721	582.496	883.099	2360.278	2358.817	2199.890	2523.217	
DUMAHN-blizzard.mat	"u22"	919.712	962.501	413.635	396.773	401.709	439.639	2043.209	2162.200	2022.494	1955.493	
DUMAHN-blizzard.mat	"ah22"	1147.546	1525.932	634.415	624.883	643.818	634.574	1094.390	1116.244	1015.577	1150.623	
DUSAHX-prison.mat	"u22"	1203.010	1273.698	493.328	419.722	435.490	616.897	2281.428	2139.002	2535.316	2190.246	
DUSAHX-prison.mat	"ah22"	1618.018	1711.724	796.011	694.843	797.688	894.707	2425.148	1838.957	2506.622	2886.322	
DXXBITAH-offering.mat	"i22"	402.871	565.406	2045.848	1781.380	2176.189	2186.666	3052.116	2971.943	3113.774	3073.100	
DXXBITAH-offering.mat	"ah22"	755.893	942.238	862.797	743.442	873.955	972.149	1796.469	1947.875	1861.463	1611.443	
DXXRELE-hescattered.mat	"e22"	470.571	686.256	1270.232	790.145	1456.626	1577.312	2298.485	1942.646	2698.791	2253.648	
DXXRELE-hescattered.mat	"e22"	819.909	1070.718	1648.633	1750.735	1595.429	1603.284	2492.967	2582.201	2437.406	2458.463	
EXDAHHAH-pretentiousness.mat	"ex22"	1061.145	1127.171	445.041	456.207	457.649	421.933	2164.754	2124.795	2315.855	2065.447	
EXDAHHAH-pretentiousness.mat	"ah22"	1433.175	1542.440	682.967	570.568	797.086	688.393	2039.939	1825.327	2514.757	1805.551	
EXDAHHAH-pretentiousness.mat	"ah22"	1682.528	1933.225	703.513	698.475	658.879	749.755	2253.381	2335.866	1821.293	2598.668	
EXSHKAHP-cupboard.mat	"e22"	1124.419	1219.322	576.401	457.734	440.817	829.987	2204.531	2117.566	2073.458	2433.075	
EXSHKAHP-cupboard.mat	"ah22"	1571.869	1916.690	687.792	705.394	668.418	689.349	985.853	1024.604	969.112	962.207	
EXTIAHR-old.mat	"ex22"	921.232	954.586	706.373	789.544	534.908	765.052	2474.146	2457.777	2488.179	2477.266	
EXTIAHR-old.mat	"i22"	1378.132	1480.218	377.230	557.906	280.009	287.883	2520.694	2844.649	2480.234	2232.977	
