Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
EXTIAHR-old.mat	"ah22"	1582.303	1935.124	685.779	631.945	738.021	687.358	1044.396	1195.519	882.976	1053.430	
FAHLAH-unqualifiedworker.mat	"ah22"	970.469	1259.567	673.529	652.662	685.397	680.239	1993.921	2314.998	1828.180	1834.801	
FAHLAH-unqualifiedworker.mat	"ah22"	1379.047	1673.480	641.158	659.089	604.130	658.759	1266.192	1072.011	1236.295	1482.786	
FERCHAH-brush.mat	"e22"	707.791	848.104	546.757	501.602	600.354	544.515	1692.729	1377.545	1534.875	2156.125	
FERCHAH-brush.mat	"ah22"	1239.399	1527.930	792.176	747.336	767.314	861.277	2104.425	1253.671	2285.370	2797.257	
FEXRCHAH-brush.mat	"ex22"	797.958	964.477	726.973	804.593	798.492	574.251	2034.731	2074.598	2060.120	1966.046	
FEXRCHAH-brush.mat	"ah22"	1326.296	1507.206	763.839	771.172	767.399	753.572	985.465	1069.030	987.295	897.914	
GALAH-carpetbag.mat	"a22"	2290.682	2582.227	841.559	868.082	856.112	801.065	2367.490	2133.828	2367.674	2596.876	
GALAH-carpetbag.mat	"ah22"	2670.405	2803.070	721.500	684.758	706.236	773.508	2139.428	1229.615	2165.202	3040.968	
GAMARAH-thetalmud.mat	"a22"	1473.401	1542.188	832.777	815.672	871.478	812.999	1508.085	2146.786	1235.205	1105.010	
GAMARAH-thetalmud.mat	"ah22"	1666.005	1867.076	773.147	719.583	743.217	857.988	1591.548	833.030	1114.116	2834.463	
GAMARAH-thetalmud.mat	"ah22"	1986.660	2076.612	838.810	812.043	768.780	933.856	2619.355	2532.936	2611.572	2714.758	
GANAH-soulbody.mat	"a22"	1453.519	1704.614	861.283	925.864	849.510	811.433	1976.968	2277.868	1808.926	1849.120	
GANAH-soulbody.mat	"ah22"	1801.847	2157.246	671.890	660.087	729.175	625.488	1233.148	1275.467	1256.589	1162.888	
GARE-roofceiling.mat	"a22"	1184.713	1507.526	813.353	812.465	794.912	833.296	1945.752	2112.099	1612.408	2108.101	
GARE-roofceiling.mat	"e22"	1586.188	1981.549	1027.019	1266.686	1287.467	515.688	2209.628	2213.189	2258.931	2154.366	
GLALAH-string.mat	"a22"	1748.848	1988.148	791.367	711.035	785.341	878.455	2183.049	2637.647	1857.550	2046.733	
GLALAH-string.mat	"ah22"	2079.796	2445.586	705.490	736.614	716.132	664.902	2484.595	3020.382	3009.209	1434.094	
GORI-theywillenter.mat	"o22"	1352.265	1742.889	557.353	502.322	534.498	636.202	1614.684	977.176	1371.605	2511.645	
GORI-theywillenter.mat	"i22"	1864.002	2059.523	1471.796	1370.980	730.766	2262.975	2911.264	2886.622	2604.215	3221.039	
GULAHB-rosewater.mat	"u22"	958.646	1039.494	574.256	650.098	664.432	403.528	1965.709	2371.764	2137.139	1341.299	
GULAHB-rosewater.mat	"ah22"	1153.780	1408.800	737.011	689.822	809.022	713.867	2354.460	1659.344	2753.387	2662.761	
HABRAH1-ink.mat	"a22"	650.015	819.154	844.924	933.529	867.875	735.235	1229.608	1162.702	1283.214	1242.801	
HABRAH1-ink.mat	"ah22"	1145.710	1365.088	746.502	731.899	713.741	795.685	2221.477	2064.257	1933.452	2684.074	
HAHBRAH2-ink.mat	"a22"	616.956	765.249	785.955	826.213	804.001	726.462	1467.231	1442.329	1435.651	1508.716	
HAHBRAH2-ink.mat	"ah22"	1107.047	1371.081	724.247	624.680	762.177	786.490	1769.629	1163.134	1449.568	2677.717	
HESTAH-honor.mat	"e22"	459.401	534.902	854.604	542.873	651.277	1398.044	2185.028	2183.394	2084.206	2295.507	
HESTAH-honor.mat	"ah22"	1041.837	1272.962	764.325	787.354	812.938	693.809	1336.511	1881.430	995.472	1123.962	
JABAHRNAH-boastfulofpower.mat	"a22"	1645.032	1735.557	786.104	653.113	987.456	718.347	1763.306	1615.174	2122.527	1539.445	
JABAHRNAH-boastfulofpower.mat	"ah22"	1927.013	2049.795	681.191	627.497	687.755	731.455	1721.079	1701.632	1737.556	1773.304	
JABAHRNAH-boastfulofpower.mat	"ah22"	2367.154	2550.285	727.306	808.128	725.512	655.164	1764.861	2559.679	1201.531	1574.274	
JABBAHRAH1-tyrant.mat	"a22"	1535.535	1650.097	688.490	570.573	743.501	754.302	1553.941	1815.844	1557.503	1292.820	
JABBAHRAH1-tyrant.mat	"ah22"	1841.708	2090.092	675.513	649.521	671.484	706.150	2246.822	2117.852	2109.236	2526.692	
JABBAHRAH1-tyrant.mat	"ah22"	2188.580	2554.747	772.730	760.224	791.782	762.835	2549.699	1995.229	2749.917	2893.085	
JAHBAHRAH2-tyrant.mat	"a22"	803.924	904.004	717.710	662.737	763.624	728.588	1631.513	1882.675	1651.403	1372.724	
JAHBAHRAH2-tyrant.mat	"ah22"	1149.756	1404.404	690.444	603.029	705.397	760.986	2049.544	1244.001	2356.017	2553.413	
JAHBAHRAH2-tyrant.mat	"ah22"	1510.044	1872.556	664.433	608.602	732.592	652.262	1115.670	1160.921	1115.148	1072.577	
JAHDAH-widestreet.mat	"ah22"	1589.338	1710.766	743.861	747.512	778.217	710.338	2333.382	2063.178	2387.078	2561.209	
JAHDAH-widestreet.mat	"ah22"	2047.772	2363.660	766.977	755.462	810.853	735.875	2376.087	2670.968	2660.406	1808.783	
JAHDU-magic.mat	"ah22"	983.597	1184.517	735.733	735.370	747.737	723.904	2587.262	2524.174	2808.943	2433.261	
JAHDU-magic.mat	"u22"	1326.803	1712.225	560.413	453.071	686.197	541.085	1961.862	1617.563	2373.571	1889.381	
JAHDUKAR-sorcererwitch.mat	"ah22"	1263.367	1448.973	711.801	671.948	819.950	646.265	2352.498	2148.950	2717.909	2202.338	
JAHDUKAR-sorcererwitch.mat	"u22"	1549.982	1652.255	395.403	387.343	404.305	394.336	1744.441	1999.282	1902.651	1326.136	
JAHDUKAR-sorcererwitch.mat	"ah22"	1902.254	2298.717	697.619	698.944	662.505	730.738	1620.670	1665.165	1669.208	1516.175	
JARAS-bell.mat	"a22"	1631.350	1784.284	681.637	569.027	750.662	726.946	1974.044	1865.709	2107.927	1946.093	
JARAS-bell.mat	"a22"	1832.703	2098.418	788.247	671.328	774.597	918.594	2027.563	1972.720	2044.450	2066.551	
JARUBTA-trialtestexperiment.mat	"a22"	1130.631	1244.937	758.829	743.549	766.600	771.884	1860.638	2041.996	1686.567	1863.066	
JARUBTA-trialtestexperiment.mat	"ah22"	1727.696	2054.806	750.470	783.705	726.958	741.693	1404.837	2049.640	1170.622	1001.746	
JAWAHIR-gems.mat	"a22"	1552.613	1654.898	781.876	641.150	851.528	851.442	2206.105	1959.846	2024.206	2627.368	
JAWAHIR-gems.mat	"ah22"	1747.405	1942.197	738.968	704.417	708.328	802.809	2079.133	1642.384	2389.957	2194.337	
JAWAHIR-gems.mat	"i22"	2064.976	2278.718	1911.795	1905.130	2026.587	1807.114	2842.611	3042.301	2844.971	2640.052	
JORE-urine.mat	"o22"	1666.873	1904.420	677.593	561.168	729.902	744.128	2295.813	1691.214	2594.861	2609.827	
JORE-urine.mat	"e22"	2006.543	2144.187	1256.979	1449.097	1231.927	1098.650	2200.446	2069.297	2202.317	2319.040	
KALO-bride.mat	"a22"	557.558	761.256	785.751	840.655	814.794	704.130	1350.383	1463.943	1247.443	1338.909	
KALO-bride.mat	"o22"	877.332	1203.399	587.929	598.384	574.672	588.630	1390.786	1681.700	1350.110	1127.899	
KALO-bride.mat	"a22"	2431.524	2629.882	879.840	885.477	929.590	823.875	2590.476	2218.868	2726.232	2832.251	
KALO-bride.mat	"o22"	2762.323	2867.300	700.708	702.639	685.332	714.686	2676.821	2653.885	2675.808	2700.010	
KORULAH-blindness.mat	"o22"	1169.819	1375.282	648.465	569.259	617.466	758.922	2336.614	1888.357	2565.822	2558.797	
KORULAH-blindness.mat	"u22"	1439.856	1664.105	454.385	484.569	395.383	480.727	1587.492	2051.215	1375.782	1330.608	
KORULAH-blindness.mat	"ah22"	1783.860	1927.098	698.302	672.134	704.165	718.641	2174.926	2802.529	2423.614	1293.694	
LOTI-playboydandy.mat	"o22"	998.680	1302.799	641.296	591.199	657.357	675.331	2700.293	2640.001	2681.705	2778.589	
LOTI-playboydandy.mat	"i22"	1596.321	1818.847	2264.195	2296.767	2189.995	2304.221	3116.222	3202.172	3136.223	3008.706	
LUWAH-inside.mat	"u22"	1167.237	1292.695	721.367	774.532	719.784	671.700	2566.608	2482.283	2545.190	2670.563	
LUWAH-inside.mat	"ah22"	1392.505	1535.248	787.422	731.633	782.430	852.237	2398.022	2175.274	2346.205	2650.397	
MALAX-angel.mat	"a22"	1011.114	1151.275	843.748	705.410	984.912	845.008	2343.583	1350.169	3053.193	2667.399	
MALAX-angel.mat	"a22"	1240.128	1357.138	823.003	827.441	855.648	788.605	1884.381	2961.398	1664.813	1039.270	
MALU-theirvillage.mat	"a22"	671.778	926.505	845.557	768.594	923.004	846.943	2177.428	1369.205	2261.281	2898.656	
MALU-theirvillage.mat	"u22"	1066.678	1256.970	650.324	705.513	683.803	560.981	2404.696	2469.515	2369.469	2375.876	
MARILAH-bitter.mat	MARILAH-bitter.mat	1.000	3069.000	1189.555	1492.539	666.615	1420.702	2571.370	2825.228	2208.277	2688.281	
MAROE-grazing.mat	MAROE-grazing.mat	1.000	2766.000	1180.537	1253.399	828.867	1467.515	2506.758	2660.940	2047.509	2823.540	
MRELE-hegrazed.mat	"e22"	1420.542	1657.354	1065.925	1072.529	1283.763	836.976	2259.886	2249.438	2211.632	2316.020	
MRELE-hegrazed.mat	"e22"	1739.085	1946.558	568.907	583.574	564.930	558.365	2155.412	2128.284	2109.873	2225.207	
MXXRAD-desire.mat	"a22"	1154.905	1590.102	829.505	856.662	889.554	743.818	1934.709	2370.120	2011.248	1424.507	
NAHJAHRAH-carpenter.mat	"a22"	1024.095	1159.420	956.341	1080.390	924.355	863.222	2537.760	2759.679	2807.449	2060.645	
NAHJAHRAH-carpenter.mat	"ah22"	1449.588	1817.827	762.228	812.233	740.769	733.727	2470.472	2377.814	2768.631	2269.240	
NAHJAHRAH-carpenter.mat	"ah22"	1923.224	2153.537	819.385	801.491	792.682	865.243	2206.086	2359.309	2034.621	2214.207	
NATORE-toguard.mat	"a22"	1245.605	1380.649	839.920	882.810	796.011	823.959	1616.901	1864.987	1485.449	1484.385	
NATORE-toguard.mat	"o22"	1628.755	1881.571	705.461	633.082	717.634	766.114	2565.912	2617.032	2604.025	2479.079	
NATORE-toguard.mat	"e22"	1956.945	2156.371	1314.378	1440.028	1532.777	965.049	2333.094	2207.266	2262.111	2527.741	
ORDU-armycamp.mat	"o22"	889.212	1112.980	659.252	663.018	645.774	668.262	2186.489	2426.155	2316.970	1816.188	
ORDU-armycamp.mat	"u22"	1357.686	1501.631	520.329	440.068	511.329	610.622	2562.729	2399.476	2478.734	2806.105	
PAGAH-cowshedstable.mat	"a22"	186.216	355.675	762.769	825.922	804.644	659.999	1528.073	1155.890	1481.383	1938.044	
PAGAH-cowshedstable.mat	"ah22"	475.961	671.897	685.281	669.828	719.511	666.395	1201.753	1099.617	1113.952	1393.494	
PASOXE-joy.mat	"a22"	963.149	1053.393	870.195	844.366	817.187	937.283	2057.595	2238.814	1601.323	2289.432	
PASOXE-joy.mat	"o22"	1295.626	1508.173	637.495	571.570	660.250	681.008	2389.765	1835.149	2693.645	2640.723	
PASOXE-joy.mat	"e22"	1711.221	1892.896	859.124	711.692	936.668	930.849	2184.059	2049.201	2106.163	2390.809	
PXXLIMAH-crookeddishonest.mat	"i22"	1180.680	1394.912	622.018	1317.848	257.238	285.502	2462.465	2716.365	2308.336	2361.202	
PXXLIMAH-crookeddishonest.mat	"ah22"	1532.973	1690.077	642.433	609.977	674.236	645.250	1015.942	1019.505	1030.576	996.272	
PYAHLAH-glass.mat	"ah22"	764.529	1037.810	711.541	756.187	740.286	638.692	1971.277	2022.871	2904.306	1007.970	
PYAHLAH-glass.mat	"ah22"	1141.468	1333.078	731.257	697.237	689.802	808.873	2091.753	1375.232	2226.820	2672.161	
QETRAH-knot.mat	"e22"	1045.836	1132.250	841.104	704.283	753.986	1054.837	2305.756	2276.641	2124.376	2509.508	
QETRAH-knot.mat	"ah22"	1643.894	1871.610	794.547	755.997	802.806	824.386	2551.793	2472.874	2850.152	2340.505	
QEXLLUGH-service.mat	"u22"	1113.196	1399.002	657.885	686.425	713.336	574.318	2777.518	2782.814	2739.878	2809.820	
QEXNYAH-bruise.mat	"ah22"	1475.545	1698.646	793.014	726.950	741.477	909.882	2323.046	1659.134	2482.580	2832.819	
QEXTTAH-piece.mat	"ah22"	1281.524	1471.962	795.660	782.156	750.555	854.606	2331.913	1732.203	2681.338	2596.534	
QIRAH-tar.mat	"i22"	551.641	778.028	1015.564	2070.079	712.048	277.750	2757.178	3286.945	2597.240	2389.472	
QIRAH-tar.mat	"ah22"	973.941	1175.077	811.532	751.964	831.823	851.351	2871.555	2737.725	2903.683	2973.400	
RABTAH-big.mat	"a22"	976.379	1087.746	940.558	928.267	984.500	911.918	2597.894	2739.109	2704.009	2352.994	
RABTAH-big.mat	"ah22"	1609.470	1826.186	713.123	731.201	734.374	675.322	1397.042	1254.934	1720.387	1232.610	
RESHAH-shewakes.mat	"e22"	779.439	1038.450	1333.156	1336.335	1077.606	1579.435	2186.291	2118.059	2134.254	2305.348	
RESHAH-shewakes.mat	"ah22"	1316.261	1583.628	785.230	743.842	754.368	858.697	1779.459	1345.387	1061.640	2923.852	
RUB-quarter.mat	"u22"	897.762	1018.803	854.161	847.273	884.813	832.014	2479.560	2461.614	2461.507	2514.617	
RUH-spiritsoul.mat	"u22"	931.106	1174.966	733.634	804.051	764.087	631.913	2629.327	2718.052	2617.167	2553.046	
RUZI-salary.mat	"u22"	815.707	1049.780	523.966	462.124	518.002	592.422	2045.263	2227.280	2188.135	1723.826	
RUZI-salary.mat	"i22"	1281.934	1654.148	1799.256	1981.449	2313.769	1112.347	2844.489	2991.658	2750.088	2795.127	
SAHLOE-topray.mat	"a22"	812.470	940.596	875.091	871.773	941.540	813.918	2224.830	2282.724	2751.722	1664.269	
SAHLOE-topray.mat	"o22"	1024.055	1186.269	530.123	501.799	550.834	537.942	976.359	1037.708	803.526	1083.711	
SAHLOE-topray.mat	"e22"	1272.079	1562.419	701.448	992.658	484.826	622.048	2122.337	2059.051	2059.662	2249.385	
SESQE-gristle.mat	"ex11"	1367.806	1462.613	783.919	563.584	522.454	1249.090	2329.587	1928.939	2190.625	2853.301	
SESQE-gristle.mat	"e11"	1839.130	2099.271	1167.938	1113.101	867.160	1526.102	2334.585	2295.783	2117.962	2589.374	
SEXTRAH-crack.mat	"ex22"	1290.182	1365.739	920.946	798.794	936.562	1026.549	2093.118	2036.868	2010.204	2229.122	
SEXTRAH-crack.mat	"ah22"	1752.053	2026.251	844.399	789.508	812.468	931.711	2772.929	2626.924	2694.783	2998.827	
SHEMRAH-spiderweb.mat	"ex22"	1524.336	1578.648	656.281	556.582	746.330	664.169	1975.993	1860.223	1935.906	2135.819	
SHEMRAH-spiderweb.mat	"ah22"	1969.276	2193.836	795.792	791.179	789.241	807.850	2405.830	2433.788	2612.969	2181.336	
SHXXWAWAH-neighbor.mat	"a22"	1263.345	1534.722	713.912	683.949	715.742	741.853	2114.753	1892.316	2485.866	1987.883	
SHXXWAWAH-neighbor.mat	"ah22"	1636.489	1866.116	832.834	766.640	800.651	931.663	2832.592	2902.870	2919.093	2678.224	
SHXXWAWE-neighbors.mat	"a22"	1198.131	1513.735	800.346	781.078	831.212	789.808	1826.054	2494.273	1541.380	1464.748	
SHXXWAWE-neighbors.mat	"e22"	1679.297	1906.945	1327.106	1066.052	1021.880	1915.268	2562.862	2437.333	2534.483	2725.579	
SIWAH-stickpieceofwood.mat	"i22"	929.529	1226.177	706.638	1609.619	260.042	250.468	2441.431	2753.545	2255.679	2314.969	
SIWAH-stickpieceofwood.mat	"ah22"	1338.156	1603.370	717.958	636.041	656.334	862.486	1862.565	1395.006	1653.365	2546.044	
SOL-leftside.mat	SOL-leftside.mat	1.000	2574.000	1337.526	1595.763	1004.703	1420.573	2926.862	2959.291	2970.184	2849.123	
SOMAH-fastcopy.mat	"o22"	1046.997	1261.599	666.249	756.075	601.493	640.117	2118.632	2443.581	1585.401	2339.962	
SOMAH-fastcopy.mat	"ah22"	1385.097	1534.913	705.214	633.056	606.718	870.532	1950.387	1694.717	1188.523	2925.602	
SOMAH-fastnoun.mat	"o22"	924.474	1128.895	598.538	556.996	602.898	637.254	990.261	1181.171	1038.034	747.502	
SOMAH-fastnoun.mat	"ah22"	1299.245	1595.229	617.946	595.175	602.265	656.489	1031.837	940.798	1026.400	1129.025	
SXXBOTAH-fingertoe.mat	"o22"	1388.705	1666.891	632.017	582.715	605.075	707.755	2609.742	2377.250	2704.914	2746.464	
SXXBOTAH-fingertoe.mat	"ah22"	1958.200	2231.137	772.898	675.665	778.284	865.746	1905.831	1307.935	1925.737	2481.921	
SXXLOLAH-prayer.mat	"o22"	1331.185	1654.962	628.364	675.192	585.423	624.456	2627.271	2494.814	2791.166	2598.412	
SXXLOLAH-prayer.mat	"ah22"	1744.191	2078.166	784.019	711.345	778.688	864.467	2474.141	2913.978	2418.565	2079.449	
SXXWELE-heoutwitted.mat	"e22"	1498.387	1738.512	891.917	650.753	976.914	1052.018	2195.088	2013.329	2192.435	2377.268	
SXXWELE-heoutwitted.mat	"e22"	1841.933	2007.168	1509.136	1641.035	1620.071	1269.854	2404.377	2585.784	2462.222	2164.002	
SXXYOT-pepper.mat	"o22"	1284.792	1565.976	682.800	625.269	660.426	762.319	2621.859	2507.627	2722.273	2637.394	
SYOT-pepper.mat	SYOT-pepper.mat	1.000	1909.000	1451.722	1523.692	1376.071	1459.585	2921.669	2938.418	2894.166	2936.079	
TAHLANAH-playergambler.mat	"ah22"	664.758	807.147	735.390	688.471	761.866	757.068	2430.738	1583.717	2930.009	2789.870	
TAHLANAH-playergambler.mat	"a22"	905.724	1135.737	958.426	906.454	1047.468	922.346	2890.585	3053.645	3176.646	2453.197	
TAHLANAH-playergambler.mat	"ah22"	1276.301	1453.374	748.544	731.633	674.501	839.694	1770.846	1613.899	1557.068	2115.238	
TAHYFAH-tribe.mat	"ah22"	1043.778	1212.140	728.004	616.343	757.339	811.937	2427.145	2048.133	2857.464	2392.313	
TENAH-loadburden.mat	"e22"	877.987	1090.263	1150.122	913.395	1532.858	981.589	2536.491	2391.883	2506.984	2706.870	
TENAH-loadburden.mat	"ah22"	1202.524	1351.526	762.102	748.559	725.084	816.456	1346.316	1881.215	1145.646	1054.021	
TEXMMA-taste.mat	"ex22"	827.239	866.129	713.730	761.149	705.837	668.117	1057.358	892.094	896.654	1365.488	
TEXMMA-taste.mat	"ah22"	1205.908	1459.718	756.668	676.548	749.433	843.145	2494.044	2629.472	2335.117	2506.215	
TINAH-mud.mat	"i22"	997.786	1233.475	298.041	299.090	288.449	306.681	2454.855	2613.510	2390.089	2358.591	
TINAH-mud.mat	"ah22"	1359.737	1521.773	849.896	980.550	762.901	802.118	1832.089	2227.151	1182.140	2053.659	
TOR-net.mat	"o22"	764.887	1027.989	613.199	551.407	629.025	659.651	2506.868	2005.851	2778.828	2745.757	
TORE-nets.mat	"o22"	1196.928	1465.383	481.874	501.793	456.689	488.914	1215.411	1702.952	1031.692	924.754	
TORE-nets.mat	"e22"	1618.786	1953.715	620.238	673.986	577.315	612.523	2139.232	2078.497	2143.055	2196.557	
TORE-netscopy.mat	"o22"	767.184	1093.603	643.325	603.530	598.696	727.265	2568.403	2419.764	2708.211	2580.373	
TORE-netscopy.mat	"e22"	1199.788	1353.165	1254.896	1430.147	1526.537	818.842	2099.604	2077.593	2071.663	2149.225	
TOREV-hisnet.mat	"o22"	1048.145	1305.369	665.821	623.655	635.914	738.647	2620.676	2611.734	2637.178	2614.208	
TOREV-hisnet.mat	"e22"	1399.836	1594.462	1256.593	1435.958	1531.936	797.500	2169.513	2188.328	2249.447	2070.616	
