sonah-grandfather.wav,s11o,0.5020090574,0.3853604503,45.74554734,4945.258057,1363.523603,1.057775555,-0.1201709311
filename,label,start,duration,intensity,cog,sdev,skew,kurt
sxxwele-hebecamesatiated.wav,s11xx,1.168025061,0.2490646252,42.49476828,5494.500112,949.506248,0.2188524029,0.4788715644
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xahisht-please.wav,x11ah,1.055228256,0.2205178996,30.09926554,2106.841682,2102.021549,1.551138903,1.409015468
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xalah-new.wav,x22a,1.051241943,0.330046828,34.46007765,2349.110888,1919.618675,1.395934498,0.7139848353
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xaloqe-tocreate.wav,x11a,1.409443893,0.2350542098,31.29238316,3024.669885,2028.728257,0.961900286,0.0561513948
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xarupe-sharp.wav,x11a,1.21288294,0.2732874001,32.16884694,2605.626656,1805.217234,1.422298916,1.288963356
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xexliqi-theyhavebecomeknotted.wav,x22ex,0.8551088322,0.2831473235,26.64814603,2751.677995,1803.158165,1.2761964,1.290870454
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xexltah-shehaseaten.wav,x11ex,0.9798448872,0.2613639787,34.21552743,2475.139448,1840.263896,1.462526376,0.9802069166
filename,label,start,duration,intensity,cog,sdev,skew,kurt
xextnah-soninlaw.wav,x11ex,0.8304594511,0.2323768731,35.3258492,2775.263238,1888.023177,0.7389972692,-0.582893004
