Filename	Label	seg_Start	seg_End	A1c_mean	A1c_means001	A1c_means002	A1c_means003	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
aqlu-theirfoot.mat	"u11s"	1639.330	2046.522	-12.210	-12.491	-7.915	-16.198	1078.375	1035.920	1192.851	1010.262	2470.390	2507.420	2792.449	2117.742	
beaqla-withoutfoot.mat	"e11p"	1190.679	1404.225	-12.599	-7.913	-8.706	-20.878	531.697	497.730	531.912	565.314	2117.080	2215.645	2110.169	2025.977	
beaqla-withoutfoot.mat	"a11r"	1655.456	1853.300	-20.904	-29.361	-16.474	-17.267	858.281	826.486	960.550	789.459	1698.034	1714.705	1798.395	1580.012	
beaqla-withoutfoot.mat	"ah11r"	2211.303	2415.428	-19.377	-15.449	-18.402	-23.930	777.656	809.444	792.599	732.227	2404.061	2307.230	2920.673	1976.975	
beheyWAHN-withoutanimal.mat	"e13p"	1265.794	1381.506	-17.042	-18.798	-16.255	-16.201	551.123	457.555	483.063	705.817	2141.972	2011.127	2074.633	2336.796	
beheyWAHN-withoutanimal.mat	"ah33r"	1871.759	2129.066	-18.442	-16.212	-16.856	-22.081	626.332	643.500	593.366	641.360	1125.183	1323.530	983.618	1063.546	
benokar-withoutservant.mat	"e11p"	1054.815	1197.789	-10.413	-14.811	-5.959	-10.764	661.966	435.072	477.022	1061.697	2306.390	2232.091	2223.739	2462.583	
benokar-withoutservant.mat	"o11r"	1333.103	1455.652	-19.169	-17.505	-19.701	-20.136	909.341	1481.493	713.436	532.596	2035.582	2469.537	1765.448	1863.419	
benokar-withoutservant.mat	"a11r"	1728.834	1948.400	-31.443	-27.892	-32.091	-34.111	972.854	842.014	1022.265	1053.013	1945.870	1757.314	1970.649	2109.057	
betenah-withoutfig.mat	betenah-withoutfig.mat	1.000	3076.000	-71.049	-96.833	-52.251	-64.819	1265.772	1554.608	1046.824	1200.601	2493.590	2861.624	2453.278	2165.972	
xaaqla-onefoot.mat	"a11p"	1011.533	1182.436	-18.685	-19.542	-15.734	-20.673	862.239	764.734	852.070	970.190	1927.432	1699.952	2021.511	2066.054	
xaaqla-onefoot.mat	"a11r"	1339.097	1486.263	-22.276	-29.392	-19.361	-18.984	924.963	1004.180	996.072	774.434	1556.358	1535.220	1545.894	1589.871	
xaaqla-onefoot.mat	"ah11r"	1775.848	2010.839	-22.300	-18.729	-18.141	-29.724	814.362	862.106	770.752	810.476	2680.077	2963.388	2208.842	2884.930	
xanokar-oneservant.mat	"a11p"	1027.002	1155.962	-16.447	-20.764	-14.264	-14.496	1001.850	1288.859	1090.354	629.295	1965.430	2252.681	2055.823	1594.287	
xanokar-oneservant.mat	"o11r"	1264.693	1360.781	-26.545	-25.981	-26.405	-27.118	497.027	487.108	518.050	487.247	1724.648	1747.801	1767.204	1657.546	
xanokar-oneservant.mat	"a11r"	1638.929	1843.747	-33.071	-29.411	-30.483	-38.760	701.559	646.725	713.366	743.625	1665.172	1742.522	1691.114	1563.245	
xatenah-onefig.mat	"a11p"	905.246	995.739	-18.629	-23.935	-13.441	-18.920	1011.304	885.648	1074.775	1074.619	2350.067	2014.610	2415.198	2620.678	
xatenah-onefig.mat	"e11r"	1132.530	1296.680	-25.389	-24.827	-22.162	-29.017	834.100	514.194	798.273	1193.150	2245.803	2155.317	2315.125	2267.073	
