Filename,Segment,F1,F2
AHQLAV-herintelligence,ah22r,592.1098376,970.2984535
AHQLAV-herintelligence,a22s,710.6473984,1174.526568
AHQLAX-yourintelligencefemale,ah22r,590.0269233,938.491388
AHQLAX-yourintelligencefemale,a22s,683.0063117,1221.614463
AHQLEW-hisintelligence,ah22r,590.2861085,944.9435815
AHQLEW-hisintelligence,e22s,545.6452008,1706.106457
AHQLI-myintelligence,a22r,717.5914314,1512.28937
AHQLI-myintelligence,i22s,330.081462,2165.359555
AHQLOX-yourintelligencemale,ah22r,572.0661538,981.518971
AHQLOX-yourintelligencemale,o22s,499.3974901,859.7895384
AHQLU-theirintelligence,ah22r,544.9974144,893.6406056
AHQLU-theirintelligence,u22s,359.6917532,884.2015289
AQLAN-ourintelligence,ah22r,591.23449,962.5604828
AQLAN-ourintelligence,ah22s,640.9838283,1212.33794
BEAHMRAH-withoutwool,e22p,490.2695764,1816.49803
BEAHMRAH-withoutwool,a22r,652.8757936,1148.921188
BEAHMRAH-withoutwool,ah22r,608.5043303,1059.791243
BEAQL-withoutintelligence,e22p,480.9693209,1781.252632
BEAQL-withoutintelligence,ah22r,592.3822771,960.2767212
BEBUZ-withoutice,e22p,451.8728547,1719.510855
BEBUZ-withoutice,u22r,340.5598498,845.345156
BETORE-withoutnet,e22p,467.0375999,1755.472608
BETORE-withoutnet,o22r,431.635591,957.4291665
BETORE-withoutnet,e22r,466.0028392,1779.93316
XAAHMRAH-onewool,a22p,688.6700228,1284.285684
XAAHMRAH-onewool,a22r,658.7246167,1154.875695
XAAHMRAH-onewool,ah22r,686.4007876,1093.690228
XAAQL-anintelligence,a22p,689.9780893,1372.80348
XAAQL-anintelligence,ah22r,578.2288587,950.62884
XABUZ-oneice,a22p,681.9361768,1223.997248
XABUZ-oneice,u22r,475.5619746,766.5296198
XATORE-onenet,a22p,685.7640076,1350.695586
XATORE-onenet,,,
,733.5664221,1576.156779,
XATORE-onenet,o22r,456.3129439,874.9700091
aqlan-ourfoot,a11r,698.0334601,1523.760461
aqlan-ourfoot,a11s,614.75006,1563.199411
aqlav-herfoot,a11r,705.8137842,1558.113906
aqlav-herfoot,a11s,685.2621125,1454.526013
aqlax-yourfootfemale,a11r,703.0602527,1525.026971
aqlax-yourfootfemale,a11s,746.6499085,1490.556819
aqlew-hisfoot,a11r,708.9841543,1525.298946
aqlew-hisfoot,e11s,479.3223781,1791.618725
aqli-myfoot,a11r,739.150271,1586.735427
aqli-myfoot,i11s,339.2210097,2149.230428
aqlox-yourfootmale,a11r,704.9319842,1489.282547
aqlox-yourfootmale,o11s,451.8855169,1418.671498
aqlu-theirfoot,a11r,718.4006751,1502.555902
aqlu-theirfoot,u11s,340.4336283,1657.698973
beaqla-withoutfoot,e11p,510.5734297,1868.664316
beaqla-withoutfoot,a11r,718.1447958,1465.370871
beaqla-withoutfoot,ah11r,606.1115569,1020.288021
beheyWAHN-withoutanimal,e13p,484.8097803,1872.194653
beheyWAHN-withoutanimal,ah33r,553.3659263,982.9897517
benokar-withoutservant,e11p,453.1718354,1855.895563
benokar-withoutservant,o11r,421.6116856,1548.511835
benokar-withoutservant,a11r,666.7565881,1554.153601
xaaqla-onefoot,a11p,724.6934306,1538.40875
xaaqla-onefoot,a11r,731.3238595,1446.534644
xaaqla-onefoot,ah11r,617.5979433,1034.862225
xanokar-oneservant,a11p,648.1393625,1571.61203
xanokar-oneservant,o11r,479.0652735,1609.665727
xanokar-oneservant,a11r,670.5881402,1605.267888
xatenah-onefig,a11p,673.210259,1353.853818
xatenah-onefig,e11r,506.2074476,1751.340931
