filename,label,start,duration,intensity,cog,sdev,skew,kurt
XĖSLÂ-harvest_s1.wav,x22ə,0.05969373637,0.1236311616,16.7160968,2894.198096,3597.750852,2.165851807,4.050373636
filename,label,start,duration,intensity,cog,sdev,skew,kurt
XĖTTE-wheat_s1.wav,x22ə,0.3882858719,0.08908721788,18.31065543,3600.741102,3254.061256,1.514018749,2.419398483
filename,label,start,duration,intensity,cog,sdev,skew,kurt
faiTON-lightcarriage_s1.wav,f13æj,0.4895276008,0.1621919634,14.95374442,8064.410591,4969.151261,-0.06970224863,-0.7705283842
faiTON-lightcarriage_s1.wav,f13æi,3.763823502,0.0878539802,25.57235998,750.0767361,1254.019503,10.13321777,112.0289045
filename,label,start,duration,intensity,cog,sdev,skew,kurt
fakurâ-intelligent_s1.wav,f11æ,1.1012531,0.05596894968,16.64290299,7180.755202,5381.672155,0.1545060535,-1.249707706
filename,label,start,duration,intensity,cog,sdev,skew,kurt
fētu-whistle_s1.wav,f11ē,0.004945464636,0.1339033706,14.23104272,8671.80228,4414.472648,0.08581435922,-0.2487057471
filename,label,start,duration,intensity,cog,sdev,skew,kurt
fētu2_s1.wav,f11ē,0.003032559341,0.1319422511,14.45981002,8628.986263,4325.396373,0.0826129363,-0.2336814306
filename,label,start,duration,intensity,cog,sdev,skew,kurt
fėnJÂN-cup_s1.wav,f13ə,0.006730586959,0.2194774876,9.40593761,8533.073211,5321.207153,0.05831364211,-1.132163412
filename,label,start,duration,intensity,cog,sdev,skew,kurt
hawe-thathebe_s1.wav,h11æ,0.03683041717,0.09496584422,9.731708217,3277.714402,4091.973972,2.632281307,6.910234003
filename,label,start,duration,intensity,cog,sdev,skew,kurt
helaBÂZULÂ-decietfulness_s1.wav,h13ɛ,0.03699916321,0.08738322801,6.946304316,3816.653405,5524.817772,1.839540176,2.15461237
filename,label,start,duration,intensity,cog,sdev,skew,kurt
"heyWÂN-animal,beast_s1.wav",h13ɛj,0.2458604135,0.08118084602,13.39346282,2875.288028,3246.66118,2.849275567,9.889357104
filename,label,start,duration,intensity,cog,sdev,skew,kurt
