Filename,Segment,F2,vowel,speaker,stress
NAHJAHRAH,ah22,1073.691476,ɑ,s2,y
NATORE,a22,1364.717841,æ,s2,n
NATORE,o22,909.3584343,ø,s2,n
NATORE,e22,1807.639045,ɛ,s2,y
ORDU,o22,916.5070184,ø,s2,n
ORDU,u22,975.2953836,y,s2,y
PAGAH,a22,1261.425225,æ,s2,n
PAGAH,ah22,1083.80267,ɑ,s2,y
PASOXE,a22,1329.498522,æ,s2,n
PASOXE,o22,862.8250603,ø,s2,n
PASOXE,e22,1841.181672,ɛ,s2,y
PXXLIMAH,i22,2183.532577,i,s2,n
PXXLIMAH,ah22,998.257242,ɑ,s2,y
PYAHLAH,ah22,1022.388091,ɑ,s2,n
