Filename,Segment,F2,vowel,speaker,stress
faiTON,o33,952.4257518,ø,s1,n
faiTON,a13,1705.272799,æ,s1,y
faiTON,i13,1847.904832,i,s1,n
faiTON,o33,1171.039448,ø,s1,y
fakurah,a11,2106.480081,æ,s1,n
fakurah,u11,1491.165963,y,s1,n
fakurah,ah11,1157.533315,ɑ,s1,y
fandaBAHZ,a13,1520.23666,æ,s1,n
fandaBAHZ,a13,1286.427553,æ,s1,n
fandaBAHZ,ah33,1344.954536,ɑ,s1,y
fexnJAHN,ex13,1393.634934,ə,s1,n
fexnJAHN,ah33,1355.013152,ɑ,s1,y
fxxtu,u11,2026.304009,y,s1,y
ghang,a11,1508.261,æ,s1,y
ghang,a11,1507.781131,æ,s1,y
gilaNAHR,i13,2320.928353,i,s1,n
gilaNAHR,a13,1343.629572,æ,s1,n
gilaNAHR,ah33,1230.893214,ɑ,s1,y
gilaNAHR2,i13,2267.80177,i,s1,n
gilaNAHR2,a13,1507.400377,æ,s1,n
gilaNAHR2,ah33,1276.849554,ɑ,s1,y
gisanulah,i11,2386.017612,i,s1,n
gisanulah,a11,1570.343493,æ,s1,n
gisanulah,u11,1997.65861,y,s1,n
gisanulah,ah11,1194.847163,ɑ,s1,y
gori3,o11,1890.818079,ø,s1,n
gori3,i11,2462.435012,i,s1,y
gxxrexshlah,ex11,1600.049367,ə,s1,n
gxxrexshlah,ah11,1133.393967,ɑ,s1,y
hawe,a11,1744.483312,æ,s1,n
hawe,e11,2082.934346,ɛ,s1,y
helaBAHZULAH,e13,1595.057757,ɛ,s1,n
helaBAHZULAH,a13,1393.099757,æ,s1,n
helaBAHZULAH,ah33,1312.666984,ɑ,s1,n
helaBAHZULAH,u33,956.0747747,y,s1,n
helaBAHZULAH,ah33,1216.828254,ɑ,s1,y
heyWAHN,ey13,1984.329989,ɛ,s1,n
heyWAHN,ah33,1125.14877,ɑ,s1,y
iJAHRAH,i13,2287.545177,i,s1,n
iJAHRAH,ah33,1291.476799,ɑ,s1,n
iJAHRAH,ah33,1188.494834,ɑ,s1,y
iJAHZAH,i13,2223.494842,i,s1,n
iJAHZAH,ah33,1302.133856,ɑ,s1,n
iJAHZAH,ah33,1274.268668,ɑ,s1,y
iYAHR,i13,2477.60316,i,s1,n
iYAHR,ah33,1293.837397,ɑ,s1,y
idah,i11,2305.013946,i,s1,n
idah,ah11,1358.643223,ɑ,s1,y
iman,i11,2480.960144,i,s1,n
iman,a11,1909.822258,æ,s1,y
iqah,i11,2348.086482,i,s1,n
iqah,ah11,1154.615569,ɑ,s1,y
iqanulah,i11,2247.046499,i,s1,n
iqanulah,a11,1809.019884,æ,s1,n
iqanulah,u11,1470.197117,y,s1,n
iqanulah,ah11,1195.829218,ɑ,s1,y
ishtah,i11,2173.026974,i,s1,n
ishtah,ah11,1362.064879,ɑ,s1,y
ixalah,i11,2180.042474,i,s1,n
ixalah,a11,1287.547456,æ,s1,n
ixalah,ah11,1217.081465,ɑ,s1,y
ixalah2,i11,2313.005713,i,s1,n
ixalah2,a11,1301.586561,æ,s1,n
ixalah2,ah11,1141.765175,ɑ,s1,y
jeyRAHN,ey13,2459.25825,ɛ,s1,n
jeyRAHN,ah33,1223.947755,ɑ,s1,y
jeyRAHN2,ey13,2357.120991,ɛ,s1,n
jeyRAHN2,ah33,1266.617718,ɑ,s1,y
juwe,u11,1783.563445,y,s1,n
juwe,e11,2158.994209,ɛ,s1,y
jxxwanqah,a11,1413.847432,æ,s1,n
jxxwanqah,ah11,1197.960955,ɑ,s1,n
jxxwanqah,a11,1198.385425,æ,s1,n
jxxwanqah,ah11,1220.458365,ɑ,s1,y
karpichah,a11,1976.553726,æ,s1,n
karpichah,i11,2415.787259,i,s1,n
karpichah,ah11,1248.723769,ɑ,s1,y
keryah,e11,1581.742459,ɛ,s1,n
keryah,i11,2458.327495,i,s1,n
keryah,ah11,1378.237484,ɑ,s1,y
kexmmah,ex11,1254.883951,ə,s1,n
kexmmah,ah11,1149.366501,ɑ,s1,y
kxwah,ah11,1082.547056,ɑ,s1,y
lelah,e11,2136.788744,ɛ,s1,n
lelah,ah11,1276.47821,ɑ,s1,y
lele,e11,1937.548609,ɛ,s1,n
lele,e11,1856.280266,ɛ,s1,y
maNAH1,a13,1673.484537,æ,s1,n
maNAH1,ah33,1397.227976,ɑ,s1,y
machit,a11,1761.800004,æ,s1,n
machit,i11,2408.214257,i,s1,y
machit,a11,1915.165407,æ,s1,n
machit,i11,2256.263879,i,s1,y
malah,a11,1224.97394,æ,s1,n
malah,ah11,1237.076341,ɑ,s1,y
maqe,a11,1742.211516,æ,s1,n
maqe,e11,2156.621193,ɛ,s1,y
maroe2,a11,1786.16854,æ,s1,n
maroe2,o11,1868.983517,ø,s1,n
maroe2,e11,2252.787593,ɛ,s1,y
maroe2,a11,1876.52488,æ,s1,n
maroe2,o11,1865.122815,ø,s1,n
maroe2,e11,2210.668837,ɛ,s1,y
mexsalah,ex11,1593.760576,ə,s1,n
mexsalah,a11,1343.794756,æ,s1,y
mexsalah,ah11,1221.52333,ɑ,s1,y
mexsalah,ex11,1419.456501,ə,s1,n
mexsalah,a11,1297.970717,æ,s1,y
mexsalah,ah11,1124.07336,ɑ,s1,y
mexsalah2,ex11,1437.098664,ə,s1,n
mexsalah2,a11,1339.670988,æ,s1,y
mexsalah2,ah11,1074.377189,ɑ,s1,y
mexshtuk,ex11,2387.955247,ə,s1,n
mexshtuk,u11,1793.022033,y,s1,y
mexstana,ex11,1555.289526,ə,s1,n
mexstana,a11,1467.136817,æ,s1,n
mexstana,a11,1355.75709,æ,s1,y
mexstanah2,ex11,1758.740645,ə,s1,n
mexstanah2,a11,1491.937258,æ,s1,n
mexstanah2,ah11,1449.123777,ɑ,s1,y
meyXAHNAH,ey13,2279.405306,ɛ,s1,n
meyXAHNAH,ah33,1234.166597,ɑ,s1,n
meyXAHNAH,ah33,1284.245358,ɑ,s1,y
miLAQE,i11,2275.280159,i,s1,n
miLAQE,a11,1394.882401,æ,s1,n
miLAQE,e11,2087.790273,ɛ,s1,y
molah,o11,1635.064042,ø,s1,n
molah,ah11,1308.576404,ɑ,s1,y
molah2,o11,1648.07725,ø,s1,n
molah2,ah11,1219.522015,ɑ,s1,y
mrele3,e11,2033.158348,ɛ,s1,y
mrele3,e11,2046.377621,ɛ,s1,n
mushtari,u11,2120.121324,y,s1,n
mushtari,a11,1940.447067,æ,s1,n
mushtari,i11,2585.02379,i,s1,y
mxxqi,i11,2526.418999,i,s1,y
naJAHRAH,a13,1537.920253,æ,s1,n
naJAHRAH,ah33,1224.377917,ɑ,s1,n
naJAHRAH,ah33,1202.865418,ɑ,s1,y
naJAHRAH2,a13,1612.538659,æ,s1,n
naJAHRAH2,ah33,1335.639906,ɑ,s1,n
naJAHRAH2,ah33,1148.978222,ɑ,s1,y
neshamah,e11,2185.039097,ɛ,s1,n
neshamah,a11,1383.776017,æ,s1,n
neshamah,ah11,1071.220032,ɑ,s1,y
nigaRAHN,i13,2445.616069,i,s1,n
nigaRAHN,a13,1560.43805,æ,s1,n
nigaRAHN,ah33,1221.851098,ɑ,s1,y
nishAHNQULAH,i13,2423.126497,i,s1,n
nishAHNQULAH,ah33,1497.644868,ɑ,s1,n
nishAHNQULAH,u33,798.9552269,y,s1,n
nishAHNQULAH,ah33,1141.710059,ɑ,s1,y
nokar,o11,1952.34775,ø,s1,n
nokar,a11,1913.624237,æ,s1,y
noshi,o11,1799.294923,ø,s1,n
noshi,i11,2510.633627,i,s1,y
noshi2,o11,1805.379814,ø,s1,n
noshi2,i11,2501.136457,i,s1,y
oklah,o11,1511.842722,ø,s1,n
oklah,ah11,1226.907767,ɑ,s1,y
ortug,o11,1403.000374,ø,s1,n
ortug,u11,1847.884988,y,s1,y
pardin,a11,1817.94832,æ,s1,n
pardin,i11,2542.594699,i,s1,y
pariSAHNULAH,a13,1709.666271,æ,s1,n
pariSAHNULAH,i13,2093.193633,i,s1,n
pariSAHNULAH,ah33,1353.813585,ɑ,s1,n
pariSAHNULAH,u33,1026.703366,y,s1,n
pariSAHNULAH,ah33,1105.56748,ɑ,s1,y
paroqe,a11,1782.083097,æ,s1,n
paroqe,o11,1368.237479,ø,s1,n
paroqe,e11,2059.268864,ɛ,s1,y
patole,a11,1883.723939,æ,s1,n
patole,o11,1741.140029,ø,s1,n
patole,e11,2161.450326,ɛ,s1,y
patole2,a11,1981.979795,æ,s1,n
patole2,o11,1743.775094,ø,s1,n
patole2,e11,2201.8745,ɛ,s1,y
pengaw,e11,2227.807673,ɛ,s1,n
pengaw,a11,2017.9201,æ,s1,y
peshanah2,e11,2189.27961,ɛ,s1,n
peshanah2,ah11,1459.143193,ɑ,s1,n
peshanah2,ah11,1140.55193,ɑ,s1,y
pexruq,ex11,1552.019298,ə,s1,n
pexruq,u11,1180.152784,y,s1,y
piWAHZAH,i13,2210.160869,i,s1,n
piWAHZAH,ah33,1219.795088,ɑ,s1,n
piWAHZAH,ah33,1277.433533,ɑ,s1,y
piWAHZE2,i13,2159.04245,i,s1,n
piWAHZE2,ah33,1155.580343,ɑ,s1,n
piWAHZE2,e33,1973.561403,ɛ,s1,y
poqah,o11,1360.047762,ø,s1,n
poqah,ah11,1363.366998,ɑ,s1,y
pul,u11,1776.302997,y,s1,y
pul2,u11,1848.550623,y,s1,y
qalah,a11,1271.879035,æ,s1,n
qalah,ah11,1016.506156,ɑ,s1,y
qalah2,a11,1223.541653,æ,s1,n
qalah2,ah11,1226.415741,ɑ,s1,y
qardah,a11,1428.746066,æ,s1,n
qardah,ah11,1184.773438,ɑ,s1,y
qarilah,a11,1658.34179,æ,s1,n
qarilah,i11,2429.663413,i,s1,n
qarilah,ah11,1392.048829,ɑ,s1,y
qarilulah,a11,1799.355816,æ,s1,n
qarilulah,i11,2325.819833,i,s1,n
qarilulah,u11,1513.57161,y,s1,n
qarilulah,ah11,1417.031215,ɑ,s1,y
qulbah,u11,1325.768991,y,s1,n
qulbah,ah11,1361.252426,ɑ,s1,y
rang,a11,1370.19203,æ,s1,y
reshah,e11,2240.109518,ɛ,s1,n
reshah,ah11,1257.438598,ɑ,s1,y
riHAHN,i13,2498.953333,i,s1,n
riHAHN,ah33,1283.311888,ɑ,s1,y
rxxshutah,u11,1784.063693,y,s1,n
rxxshutah,ah11,1320.012345,ɑ,s1,y
sexfrah,ex11,1465.028714,ə,s1,n
sexfrah,ah11,1269.53941,ɑ,s1,y
sharoe,a11,1955.357359,æ,s1,n
sharoe,o11,1903.554724,ø,s1,n
sharoe,e11,2050.252037,ɛ,s1,y
shaxinah,a11,1854.356116,æ,s1,n
shaxinah,i11,2548.598353,i,s1,n
shaxinah,ah11,1579.752935,ɑ,s1,y
shishkah,i11,2418.560178,i,s1,n
shishkah,ah11,1265.356006,ɑ,s1,y
shishkah2,i11,2336.00621,i,s1,n
shishkah2,ah11,1314.903252,ɑ,s1,y
shishkah3,i11,2293.598837,i,s1,n
shishkah3,ah11,1223.335063,ɑ,s1,y
shiyah,i11,2399.325016,i,s1,n
shiyah,ah11,1287.076526,ɑ,s1,y
shobah,o11,1527.200013,ø,s1,n
shobah,ah11,1237.238907,ɑ,s1,y
shxxrele,e11,2026.956186,ɛ,s1,y
shxxrele,e11,2227.731096,ɛ,s1,n
shxxreli,e11,2009.432326,ɛ,s1,y
shxxreli,i11,2493.895857,i,s1,n
shxxrilah,i11,2309.557425,i,s1,n
shxxrilah,ah11,1388.139563,ɑ,s1,y
siWAHN,i13,2298.344713,i,s1,n
siWAHN,ah33,1164.0129,ɑ,s1,y
sijami,i11,2390.084315,i,s1,n
sijami,a11,1283.650134,æ,s1,n
sijami,i11,2439.905635,i,s1,y
sijami2,i11,2395.457817,i,s1,n
sijami2,a11,1299.991486,æ,s1,n
sijami2,i11,2253.948722,i,s1,y
sonah,o22,1745.684838,ø,s1,n
sonah,ah22,1359.627875,ɑ,s1,y
sxxwele,e11,2077.486625,ɛ,s1,y
sxxwele,e11,2294.406794,ɛ,s1,n
tavilah,a11,1606.397531,æ,s1,n
tavilah,i11,2492.173185,i,s1,n
tavilah,ah11,1481.403035,ɑ,s1,y
tavilah2,a11,1904.504805,æ,s1,n
tavilah2,i11,2567.228148,i,s1,n
tavilah2,ah11,1431.504241,ɑ,s1,y
tawule,a11,1792.09433,æ,s1,n
tawule,u11,1834.364159,y,s1,n
tawule,e11,2205.743892,ɛ,s1,y
taxt,a11,1699.639678,æ,s1,y
tenah,e11,2187.702977,ɛ,s1,n
tenah,ah11,1299.105728,ɑ,s1,y
torah,o11,967.7376662,ø,s1,n
torah,ah11,1406.906245,ɑ,s1,y
torah2,o11,1699.182721,ø,s1,n
torah2,ah11,1281.466542,ɑ,s1,y
tore4,o11,1778.250881,ø,s1,n
tore4,e11,2318.462517,ɛ,s1,y
torev2,o11,1748.418402,ø,s1,n
torev2,e11,2010.383358,ɛ,s1,y
tori,o11,1827.979165,ø,s1,n
tori,i11,2470.517184,i,s1,y
tumah,u11,1796.74758,y,s1,n
tumah,ah11,1307.649575,ɑ,s1,y
tumah2,u11,1711.480842,y,s1,n
tumah2,ah11,1125.134324,ɑ,s1,y
tunah,u11,1784.701641,y,s1,n
tunah,ah11,1342.188109,ɑ,s1,y
tush,u11,2041.68805,y,s1,y
txxlele,e11,2119.309082,ɛ,s1,y
txxlele,e11,2092.250641,ɛ,s1,n
txxlele,e11,2094.743962,ɛ,s1,y
txxlele,e11,2066.843641,ɛ,s1,n
ujah,u11,1702.233438,y,s1,n
ujah,ah11,1340.680511,ɑ,s1,y
une,u11,1959.756984,y,s1,n
une,e11,2309.191168,ɛ,s1,y
urmexghnah,u11,1898.282963,y,s1,n
urmexghnah,ex11,1506.033832,ə,s1,n
urmexghnah,ah11,1407.785701,ɑ,s1,y
ushwah,u11,1583.660684,y,s1,n
ushwah,ah11,1119.883896,ɑ,s1,y
weli,e11,2120.693596,ɛ,s1,n
weli,i11,2361.180978,i,s1,y
weli,e11,2086.846538,ɛ,s1,n
weli,i11,2592.024593,i,s1,y
xahisht,ah11,1300.129371,ɑ,s1,n
xahisht,i11,2261.101826,i,s1,y
xalah,a11,1303.722412,æ,s1,n
xalah,ah11,1170.032145,ɑ,s1,y
xarupe,a11,1807.196767,æ,s1,n
xarupe,u11,1755.5248,y,s1,n
xarupe,e11,2257.469478,ɛ,s1,y
xexltah2,ex11,1230.749585,ə,s1,n
xexltah2,ah11,1280.26742,ɑ,s1,y
xextnah,ex11,1432.715118,ə,s1,n
xextnah,ah11,1282.349865,ɑ,s1,y
yaqore,a11,1669.303641,æ,s1,n
yaqore,o11,1481.868295,ø,s1,n
yaqore,e11,2155.987115,ɛ,s1,y
yxxqeri,e11,1782.551652,ɛ,s1,y
yxxqeri,i11,2487.33115,i,s1,n
zexnDAHN,ex13,1402.420618,ə,s1,n
zexnDAHN,ah33,1233.288604,ɑ,s1,y
zxxrele,e11,1999.856622,ɛ,s1,y
zxxrele,e11,2038.172968,ɛ,s1,n
AHRAH,ah22,1007.585634,ɑ,s2,n
AHRAH,ah22,1090.105335,ɑ,s2,y
AMRAH,a22,1148.886975,æ,s2,n
AMRAH,ah22,1039.231795,ɑ,s2,y
BAHLI,ah22,972.4077106,ɑ,s2,n
BAHLI,i22,2160.628641,i,s2,y
BASTAHXAHNAH,a22,1571.519136,æ,s2,n
BASTAHXAHNAH,ah22,1106.652922,ɑ,s2,n
BASTAHXAHNAH,ah22,1046.519991,ɑ,s2,n
BASTAHXAHNAH,ah22,1108.465724,ɑ,s2,y
BATOLE,a22,1210.40077,æ,s2,n
BATOLE,o22,910.7214513,ø,s2,n
BATOLE,e22,1851.858807,ɛ,s2,y
BEXLWAHNE,ex22,1203.643678,ə,s2,n
BEXLWAHNE,a22,1225.876299,æ,s2,n
BEXLWAHNE,e22,1946.070298,ɛ,s2,y
BEXSLAH,ex22,1390.28283,ə,s2,n
BEXSLAH,ah22,1048.918545,ɑ,s2,y
BUZ,u22,891.5560543,y,s2,y
CHAHLAH,ah22,998.1714775,ɑ,s2,n
CHAHLAH,ah22,1043.752988,ɑ,s2,y
CHAHPAHR,ah22,1025.933338,ɑ,s2,n
CHAHPAHR,ah22,988.3499326,ɑ,s2,y
CHAHRAH,ah22,985.2165568,ɑ,s2,n
CHAHRAH,ah22,1077.189469,ɑ,s2,y
CHAHRGUL,ah22,1016.298967,ɑ,s2,n
CHAHRGUL,u22,880.7208013,y,s2,y
CHANGA,a22,1650.802801,æ,s2,n
CHANGA,ah22,1065.575156,ɑ,s2,y
CHEXQAH,ex22,1687.583756,ə,s2,n
CHEXQAH,ah22,1030.504991,ɑ,s2,y
CHIMAH,i22,2177.907792,i,s2,n
CHIMAH,ah22,1023.808747,ɑ,s2,y
DAHNJI,ah22,1094.990894,ɑ,s2,n
DAHNJI,i22,2140.14045,i,s2,y
DOLCHAH,o22,942.622811,ø,s2,n
DOLCHAH,ah22,1075.814927,ɑ,s2,y
DONQEXZ,o22,827.3505652,ø,s2,n
DONQEXZ,ex22,1381.717907,ə,s2,y
DUMAHN,u22,1292.75419,y,s2,n
DUMAHN,ah22,1014.198104,ɑ,s2,y
DUSAHX,u22,1324.265815,y,s2,n
DUSAHX,ah22,1072.874198,ɑ,s2,y
DXXBITAH,i22,2122.665982,i,s2,n
DXXBITAH,ah22,1132.801015,ɑ,s2,y
DXXRELE,e22,1756.29487,ɛ,s2,y
DXXRELE,e22,1808.189061,ɛ,s2,n
EXDAHHAH,ex22,1693.133671,ə,s2,n
EXDAHHAH,ah22,1219.815415,ɑ,s2,n
EXDAHHAH,ah22,969.9574175,ɑ,s2,y
EXSHKAHP,e22,1671.61727,ɛ,s2,n
EXSHKAHP,ah22,985.3916119,ɑ,s2,y
EXTIAHR,ex22,1561.910629,ə,s2,n
EXTIAHR,i22,2084.250899,i,s2,n
EXTIAHR,ah22,994.5558787,ɑ,s2,y
FAHLAH,ah22,942.5210807,ɑ,s2,n
FAHLAH,ah22,1003.692118,ɑ,s2,y
FERCHAH,e22,1300.201181,ɛ,s2,n
FERCHAH,ah22,1037.718725,ɑ,s2,y
FEXRCHAH,ex22,1274.479388,ə,s2,n
FEXRCHAH,ah22,1065.068654,ɑ,s2,y
GALAH,a22,1180.053548,æ,s2,n
GALAH,ah22,1064.268168,ɑ,s2,y
GAMARAH,a22,1216.631386,æ,s2,n
GAMARAH,ah22,972.4265794,ɑ,s2,n
GAMARAH,ah22,1134.820569,ɑ,s2,y
GANAH,a22,1244.442261,æ,s2,n
GANAH,ah22,1143.625865,ɑ,s2,y
GARE,a22,1222.185422,æ,s2,n
GARE,e22,1872.090437,ɛ,s2,y
GLALAH,a22,1168.968018,æ,s2,n
GLALAH,ah22,1057.127403,ɑ,s2,y
GORI,o22,833.9320249,ø,s2,n
GORI,i22,2201.219576,i,s2,y
GULAHB,u22,1100.743958,y,s2,n
GULAHB,ah22,1055.729663,ɑ,s2,y
HABRAH1,a22,1166.442062,æ,s2,n
HABRAH1,ah22,1056.354935,ɑ,s2,y
HAHBRAH2,a22,1171.982327,æ,s2,n
HAHBRAH2,ah22,1032.836455,ɑ,s2,y
HESTAH,e22,1867.687974,ɛ,s2,n
HESTAH,ah22,1110.025492,ɑ,s2,y
JABAHRNAH,a22,1310.000613,æ,s2,n
JABAHRNAH,ah22,974.2598484,ɑ,s2,n
JABAHRNAH,ah22,1075.484096,ɑ,s2,y
JABBAHRAH1,a22,1318.535284,æ,s2,n
JABBAHRAH1,ah22,976.3732223,ɑ,s2,n
JABBAHRAH1,ah22,1043.196571,ɑ,s2,y
JAHBAHRAH2,a22,1293.384116,æ,s2,n
JAHBAHRAH2,ah22,949.9409673,ɑ,s2,n
JAHBAHRAH2,ah22,1045.273465,ɑ,s2,y
JAHDAH,ah22,1105.528511,ɑ,s2,n
JAHDAH,ah22,1070.257963,ɑ,s2,y
JAHDU,ah22,1037.867051,ɑ,s2,n
JAHDU,u22,1031.602724,y,s2,y
JAHDUKAR,ah22,1094.946352,ɑ,s2,n
JAHDUKAR,u22,1129.580634,y,s2,n
JAHDUKAR,ah22,1015.609288,ɑ,s2,y
JARAS,a22,1569.208051,æ,s2,n
JARAS,a22,1505.654324,æ,s2,y
JARUBTA,a22,1364.340791,æ,s2,n
JARUBTA,ah22,1048.666598,ɑ,s2,y
JAWAHIR,a22,1338.722492,æ,s2,n
JAWAHIR,ah22,976.6514591,ɑ,s2,n
JAWAHIR,i22,1911.6077,i,s2,y
JORE,o22,965.9174767,ø,s2,n
JORE,e22,1791.647789,ɛ,s2,y
KALO,a22,1175.558265,æ,s2,n
KALO,o22,912.4401705,ø,s2,y
KALO,a22,1179.780165,æ,s2,n
KALO,o22,978.4231944,ø,s2,y
KORULAH,o22,916.9504253,ø,s2,n
KORULAH,u22,977.2782746,y,s2,n
KORULAH,ah22,1027.204149,ɑ,s2,y
LOTI,o22,869.104594,ø,s2,n
LOTI,i22,2171.035729,i,s2,y
LUWAH,u22,931.0921826,y,s2,n
LUWAH,ah22,961.698884,ɑ,s2,y
MALAX,a22,1130.049871,æ,s2,n
MALAX,a22,1211.046752,æ,s2,y
MALU,a22,1155.969997,æ,s2,n
MALU,u22,809.414332,y,s2,y
MRELE,e22,1604.845202,ɛ,s2,y
MRELE,e22,1795.080881,ɛ,s2,n
MXXRAD,a22,1280.043493,æ,s2,y
NAHJAHRAH,a22,1430.433055,æ,s2,n
NAHJAHRAH,ah22,1036.969887,ɑ,s2,n
