Filename,Segment,F1,F2
AHRAH,ah11,537.7541795641638,1149.701552232809
AHRAH,ah11,524.8842094864904,1174.6526837096155
AMRAH2,a22,784.8575528884936,1359.4724869087765
AMRAH2,ah22,681.4893484309531,1374.261200692977
AMRAH3,a22,628.962278543287,1278.3422575697377
AMRAH3,ah22,719.3460380789857,1420.8862841125072
BAHLI,ah22,543.3059585495477,993.410455132521
BAHLI,i22,320.5774384688256,2530.5206189903374
BASTAXAHNAH,a11,565.8256142988217,1546.6674338792145
BASTAXAHNAH,a11,631.4238068022038,1389.321960526723
BASTAXAHNAH,ah11,474.62098700604844,1183.1026847143344
BASTAXAHNAH,ah11,413.1501353119986,1261.7014854838899
BATOLE,a22,623.1097597682984,1553.1241807019694
BATOLE,o22,455.9981055762642,950.9636539534241
BATOLE,e22,455.59907450238023,2026.6885577377811
BATOLE2,ah22,827.5370646444536,1633.1949747623125
BATOLE2,o22,413.64021585731325,920.9171475545119
BATOLE2,e22,532.523668761925,2108.181493832078
BATOLE3,a22,623.4691738611726,1548.4483871785283
BATOLE3,o22,458.43052606120204,959.0647021982146
BATOLE3,e22,460.27425765368645,1993.7815163966898
BEXLWANE,x22,362.7943233837962,1089.914201027998
BEXLWANE,a22,697.7099709597189,1327.2538237876497
BEXLWANE,e22,442.2447747244324,2337.4224659447095
BEXLWANE2,ex22,362.7943233837962,1089.914201027998
BEXLWANE2,ah22,697.7099709597189,1327.2538237876497
BEXLWANE2,e22,442.2447747244324,2337.4224659447095
BEXSLAH,e22,430.50059483926196,1346.4640799650024
BEXSLAH,ah22,626.3106137548318,1198.7428974922748
BUZ,u22,323.8249090739645,1152.259359433174
BXSLAH,e22,430.50059483926196,1346.4640799650024
BXSLAH,ah22,626.3106137548318,1198.7428974922748
DAHNJI,ah22,463.10612841631996,1315.705656655364
DAHNJI,i22,333.7028342796894,2447.8342334693943
DOLCHAH,o22,395.32463329760884,851.1689763969418
DOLCHAH,ah22,629.6506292659301,1353.588357121782
DONQEXZ,o22,371.3568588415483,958.2299275563151
DONQEXZ,ex22,420.8022975910796,1296.3124758852227
DUMAHN,u22,394.57941635784795,1207.4729058036446
DUMAHN,ah22,501.77774453435075,1134.9234062449962
DUSAHX,u22,333.84897143147754,1598.8233048780917
DUSAHX,ah22,652.5363147118329,1249.4778894167607
DXXBITAH,ex22,414.81346996675677,1373.72168740657
DXXBITAH,i22,329.1635164285207,2566.746633663276
DXXBITAH,ah22,626.7154706526106,1320.0950528894216
DXXBITAH2,ex22,397.61976004508557,1491.5834531905236
DXXBITAH2,i22,302.79030417030646,2337.316029585973
DXXBITAH2,ah22,569.5133744015234,1293.1097334250242
DXXRELE2,xx22,454.1180283489966,1367.9928937290292
DXXRELE2,e22,526.177457277889,1867.6244291714609
DXXRELE2,e22,570.36682140362,1778.4319116615143
DXXRELE2,xx22,488.1269590942119,1640.8518546339976
DXXRELE2,e22,539.9373127661557,1892.2408266271243
DXXRELE2,e22,575.2405844855116,1902.6694148468748
DXXRELE3,xx22,461.2314222689517,1828.78045466033
DXXRELE3,e22,497.02789703580066,2130.5706257368115
DXXRELE3,e22,565.0888294316104,2175.3517946495776
EXDAHHAH,ex22,343.09099907871877,1566.904693046327
EXDAHHAH,ah22,557.7495027951139,1254.2923307202384
EXDAHHAH,ah22,557.122300543462,1106.561476441369
EXDAHHAH2,ex22,402.3023361581533,1749.4084422681028
EXDAHHAH2,ah22,541.3807852897095,1213.2015361605354
EXDAHHAH2,ah22,587.6525660523346,1235.0515184545682
EXSHKAHP,xx22,359.61013729671777,1860.6272691692666
EXSHKAHP,ah22,591.069984810241,1087.3004137790165
EXTIAHR,e22,555.8884880410566,1692.5804183329672
EXTIAHR,i22,435.59441607394615,2421.9976854170823
EXTIAHR,ah22,572.2949674098202,1362.7444238294079
EXTIAHR,e22,569.5271802908859,1798.8146250012924
EXTIAHR,i22,415.33964695983195,2372.8517337463763
EXTIAHR,ah22,591.0347555213319,1407.6264005379874
FAHLAH,ah22,552.1649655505767,953.6943189038258
FAHLAH,ah22,617.2735860060212,1035.8945159722061
FAHLAH2,ah22,591.8827627451311,1031.4159869947364
FAHLAH2,ah22,597.1863106301607,1048.0445025617687
FAHLAH3,ah22,850.5853213718408,1788.044058159652
FAHLAH3,ah22,589.4720587487102,1155.5635601711485
FEXRCHAH,ex22,444.3227174867412,1336.490050033738
FEXRCHAH,ah22,593.6838214385058,1221.3105213505492
GORI,o22,402.54311493074084,993.6230961061815
GORI,i22,310.7991556685644,2266.5734120215793
GORI2,o22,398.54406039336504,910.3541092953568
GORI2,i22,348.2791412200747,2432.27098659116
HABRAH,a22,654.1351233475535,1358.7385980395472
HABRAH,ah22,597.6061209058555,1229.7585433604775
HABRAH2,a22,697.0754722980977,1394.0917381940433
HABRAH2,ah22,598.4700360760667,1211.9312088213508
HESTAH,e22,504.59436851255657,2050.6716208387816
HESTAH,ah22,650.1622485903101,1297.821962915438
JABAHRAH,a22,524.782465982766,1517.017816757432
JABAHRAH,ah22,556.2677578470912,1135.2744161765102
JABAHRAH,ah22,610.4447980775361,1377.1288490094582
KALO,a22,687.5695601230224,1279.8060972508765
KALO,o22,433.547405918644,1021.9273790117566
KORULAH,o22,388.6018979816378,925.8904296578063
KORULAH,u22,349.58204549325524,887.4109099180154
KORULAH,ah22,576.0634991373798,1133.6403473631754
LOTI,o22,414.3052118517765,1012.2931129123792
LOTI,i22,379.434620592777,2495.6939530422933
MALU,a22,789.8710276679918,1289.8437730236062
MALU,u22,379.8878233353531,893.0535431271338
MARILAH,a22,662.3493461853793,1432.8896711169614
MARILAH,i22,345.4584278853104,2535.6010196794864
MARILAH,ah22,583.370542097034,1353.6499218935724
MARILAH2,a22,621.3493129030031,1360.969830241702
MARILAH2,i22,342.21063709659603,2519.4616391218756
MARILAH2,ah22,578.7017368079701,1292.1990836250538
MARILAH3,a22,715.7358944066608,1343.2456155952646
MARILAH3,i22,352.0228955955992,2436.5153956026365
MARILAH3,ah22,650.6486138545982,1435.6063329653769
MAROE,a22,552.1891649560611,1363.1377981757848
MAROE,o22,471.7244302240124,971.1951564996
MAROE,e22,500.85505316293546,2009.2386313981779
MAROE3,a22,639.1323757713286,1325.5882499658571
MAROE3,o22,490.5561940448248,1062.621262589881
MAROE3,e22,498.99749786913645,2033.4771918328909
MRELE,e22,542.3266065410324,1821.3974326573577
MRELE,e22,640.4527431629178,1958.2692102749681
MXXRAHD,xx22,397.9359519562937,1064.0501740115174
MXXRAHD,ah22,559.4535129636972,1268.6634613206884
NATORE,ah22,696.4828814781185,1535.1743122357757
NATORE,o22,434.22911434889687,958.4348097187519
NATORE,e22,473.7320877396416,1938.0578585784674
ORDU,o22,442.7980603259808,1080.7459633539122
ORDU,u22,363.27164035195756,1301.5902720768308
PAGAH,a22,691.7848614875772,1540.2653704659197
PAGAH,ah22,549.4982984279175,1215.040850668029
PASOXE,a22,651.4606775521361,1638.1137365860222
PASOXE,o22,451.5174261750833,926.8700609012952
PASOXE,e22,452.7191538500528,2050.0514489357533
PXXLIMAH,xx22,409.6576968148832,1079.4147629574902
PXXLIMAH,i22,374.5443007844309,2493.831804131311
PXXLIMAH,ah22,649.1452613608723,1139.3641673389843
PYAHLAH,ah22,560.8705308440359,1133.454701061574
PYAHLAH,ah22,660.7901316485556,1285.664290048027
QETRAH,e22,526.3138082613518,1455.3444590326628
QETRAH,ah22,596.5296701161627,1225.8455116617235
QETRAH2,e22,510.8310935858029,1387.6600878428335
QETRAH2,ah22,629.0930451713493,1245.4163765708051
QEXNYAH,ex22,528.4568322432224,1509.621201507248
QEXNYAH,ah22,754.7352975398459,1535.7192761607762
QEXTTAH,xx22,514.9622282028396,1427.0572583656785
QEXTTAH,ah22,642.9987870359247,1272.3332925513917
QIRAH,i22,388.26207967810666,2454.9053550998747
QIRAH,ah22,603.2026308641026,1248.6052418339314
RABTAH,a22,696.6809196938286,1471.9403703267717
RABTAH,ah22,665.3361698911231,1390.0035682032146
RESHAH2,e22,430.9755127186008,2057.1838021107033
RESHAH2,ah22,632.2283033938306,1449.5187670662388
RUB,u22,394.2324606795285,1088.257977664859
RUB2,u22,336.5777306615268,1074.0894161985977
RUH,u22,441.54880241465645,1076.5179647612572
RUZI,u22,363.5753871235062,1223.1836207903077
RUZI,i22,330.0661155226927,2441.825854241858
SALOE,a22,625.2717540837976,1267.5129550652068
SALOE,o22,437.13190458777785,888.3885519043486
SALOE,e22,494.1242341038684,1921.4661193988134
SESQE,e22,412.3826737230285,1870.0595002688187
SESQE,e22,464.7915011301751,1980.2407630018129
SEXTRAH,e22,485.18549522432306,1492.360447754073
SEXTRAH,ah22,604.0356244184028,1301.4409948361217
SHEMRAH,e22,477.893806564909,1444.5068998769843
SHEMRAH,ah22,555.5873589097474,1144.168047954217
SHXXWAHWAH,xx22,355.7693348179824,1013.3681166867806
SHXXWAHWAH,ah22,726.423988324014,1273.2643251283064
SHXXWAHWAH,ah22,572.589151201977,1096.0887675544516
SHXXWAHWE,xx22,362.8618174140755,891.0900824691399
SHXXWAHWE,ah22,694.1684657981627,1255.401951930247
SHXXWAHWE,e22,469.6829824924346,2132.482799728112
SIWAH,i22,361.0595110003218,2434.2077861703765
SIWAH,ah22,554.6753937618864,1136.6022744283725
SOL,o22,430.27688378916287,958.8933597015347
SOMAH,o22,421.3044312468809,995.2470631023219
SOMAH,ah22,463.29136872618534,1135.8805456734135
SXXBOTAH,xx22,361.8839084589787,1573.8692591447839
SXXBOTAH,o22,404.69650613039636,941.9670738969521
SXXBOTAH,ah22,579.7112610718335,1217.0252855106428
SXXLOLAH,xx22,393.23557723273166,1091.0145113748772
SXXLOLAH,o22,446.41125551044036,904.1939358167093
SXXLOLAH,ah22,630.081397762142,1134.2711408557288
SXXWELE2,xx22,419.9268419881133,1301.4289671482277
SXXWELE2,e22,504.61166965915305,1904.6101697124443
SXXWELE2,e22,811.0584801542835,1901.9282144991982
SXXWELE3,xx22,394.00349557978507,1167.0936616998406
SXXWELE3,e22,477.23385289580284,1748.849965844739
SXXWELE3,e22,721.9238300310989,1879.4388251397802
SXXWELE4,xx22,487.49593982566205,1268.7689412368052
SXXWELE4,e22,527.681778102928,1800.4977877831304
SXXWELE4,e22,565.8367810762032,1887.2492424027805
SXXYOT,xx22,890.1314296039674,2232.6315469766787
SXXYOT,o22,424.52269844408755,1214.0832357870497
SXXYOT2,xx22,938.5509014197837,2539.6443275944257
SXXYOT2,o22,424.38859439707966,1223.424359517391
SYOT,o22,418.20487769432447,1197.8705725053085
SYOT2,o22,425.4107344277936,1227.860604678561
TAHLAHNAH2,ah22,552.1295429954114,1082.0639239928437
TAHLAHNAH2,ah22,886.0936228094724,1312.0558409431414
TAHLAHNAH2,ah22,384.0951302203981,1173.2417302036931
