Filename	Label	seg_Start	seg_End	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF2_mean	pF2_means001	pF2_means002	pF2_means003	
DXXRELE2.mat	"e22"	751.224	869.459	928.958	658.552	587.616	1529.593	2370.175	1838.260	2086.088	3183.102	
DXXRELE2.mat	"xx22"	3320.566	3410.041	519.773	505.743	533.827	520.431	2080.715	1979.254	2137.483	2122.598	
DXXRELE2.mat	"e22"	3552.243	3684.858	592.350	588.837	575.319	612.673	2182.472	2338.131	2234.721	1975.287	
DXXRELE2.mat	"e22"	3769.539	3873.394	1007.325	751.664	649.133	1610.192	2198.336	1863.358	2092.379	2635.030	
DXXRELE3.mat	"xx22"	227.074	310.407	485.034	458.969	512.474	484.867	2418.963	2388.719	2557.523	2313.959	
DXXRELE3.mat	"e22"	399.778	570.320	518.386	474.783	498.948	580.611	2285.639	2273.242	2321.954	2263.763	
DXXRELE3.mat	"e22"	662.802	809.119	685.130	524.422	537.577	983.881	2399.876	2184.941	2279.924	2728.122	
EXDAHHAH.mat	"ex22"	70.288	120.724	341.795	412.407	262.373	342.156	2627.389	2409.672	2589.245	2874.611	
EXDAHHAH.mat	"ah22"	398.119	517.203	722.780	584.604	624.597	958.034	2508.527	2321.234	2260.665	2894.766	
EXDAHHAH.mat	"ah22"	594.257	745.564	682.168	585.987	682.943	778.129	1983.071	1184.490	2261.827	2516.430	
EXDAHHAH2.mat	"ex22"	20.917	94.588	605.683	499.480	439.631	843.624	2521.532	2583.663	1963.009	3004.061	
EXDAHHAH2.mat	"ah22"	306.394	409.994	746.602	659.232	651.148	905.898	1993.437	1996.992	1150.403	2750.654	
EXDAHHAH2.mat	"ah22"	483.666	649.427	794.211	782.263	724.695	873.026	2771.423	3420.648	2465.805	2409.425	
EXSHKAHP.mat	"xx22"	156.043	173.107	2941.827	2345.791	3193.648	3343.517	3616.119	3456.132	3671.936	3738.328	
EXSHKAHP.mat	"ah22"	489.356	665.682	790.872	925.687	717.451	719.210	1863.544	3291.702	1118.022	1152.558	
EXSHKAHP2.mat	EXSHKAHP2.mat	1.000	654.000	1294.846	1665.796	974.310	1278.695	2737.061	3424.929	2100.296	2752.626	
EXTIAHR.mat	"e22"	188.308	272.362	707.226	533.790	522.788	1053.281	2217.942	2000.543	2087.435	2559.136	
EXTIAHR.mat	"i22"	482.498	591.274	418.818	417.430	400.365	438.178	2537.728	2561.052	2602.771	2451.580	
EXTIAHR.mat	"ah22"	591.274	735.225	698.965	577.855	642.045	882.603	2061.347	2115.764	1538.069	2542.677	
EXTIAHR.mat	"e22"	2156.185	2227.878	586.430	590.699	593.986	575.479	2087.012	2142.694	2086.474	2037.278	
EXTIAHR.mat	"i22"	2497.346	2608.594	396.911	392.640	386.447	411.547	2533.760	2525.769	2587.618	2488.898	
EXTIAHR.mat	"ah22"	2608.594	2781.647	638.403	551.396	627.028	735.006	1479.955	1953.252	1256.079	1232.163	
FAHLAH.mat	"ah22"	229.950	422.138	780.849	744.261	798.018	800.779	3510.087	3473.925	3544.662	3513.128	
FAHLAH.mat	"ah22"	500.517	618.621	687.344	649.151	587.718	821.354	1863.948	1046.749	1213.824	3315.549	
FAHLAH2.mat	"ah22"	821.759	1030.969	796.872	723.634	822.893	844.404	2371.736	1696.646	2242.518	3156.307	
FAHLAH2.mat	"ah22"	1112.155	1227.689	812.786	775.244	849.057	817.457	2589.000	1412.523	3196.518	3202.758	
FAHLAH3.mat	"ah22"	117.124	226.338	943.488	887.964	913.659	1028.318	2137.404	1958.588	1977.768	2471.668	
FAHLAH3.mat	"ah22"	460.209	635.613	868.947	931.875	914.212	760.960	3270.318	3453.282	3378.280	2983.305	
FEXRCHAH.mat	"ex22"	392.377	465.051	730.362	815.578	783.354	606.119	2211.360	2825.207	2030.168	1754.516	
FEXRCHAH.mat	"ah22"	729.322	892.289	711.381	626.999	693.263	813.657	1653.499	1707.503	1122.790	2112.766	
GORI.mat	"o22"	452.033	713.878	692.623	780.189	631.097	667.144	2894.405	2991.161	3055.690	2637.499	
GORI.mat	"i22"	764.325	913.265	470.944	331.377	315.856	765.377	2632.297	2435.059	2580.658	2883.128	
GORI2.mat	"o22"	452.033	680.247	695.084	708.414	687.310	688.402	3081.953	3515.209	3068.864	2665.750	
GORI2.mat	"i22"	749.912	908.460	341.640	364.955	345.159	314.311	2649.389	2586.957	2631.004	2732.049	
HABRAH.mat	"a22"	556.032	657.759	768.959	924.548	749.854	630.105	1728.291	1661.466	1383.737	2119.746	
HABRAH.mat	"ah22"	936.856	1054.234	753.628	652.226	675.162	931.200	1546.515	947.003	821.703	2838.483	
HABRAH2.mat	"a22"	342.271	476.742	766.142	989.572	832.947	478.794	2119.985	1722.403	1623.763	3019.688	
HABRAH2.mat	"ah22"	714.141	840.311	688.577	624.678	614.188	823.904	1495.782	1081.487	1119.220	2269.047	
HESTAH.mat	"e22"	285.993	381.888	568.816	464.538	465.823	770.875	2359.278	2495.898	2259.362	2318.545	
HESTAH.mat	"ah22"	663.452	828.718	716.744	623.401	669.564	856.951	1582.787	1388.082	1254.178	2098.501	
JABAHRAH.mat	"a22"	788.171	902.966	562.921	522.221	646.972	520.626	2184.253	2264.490	1977.109	2307.692	
JABAHRAH.mat	"ah22"	1059.216	1240.976	761.399	741.001	809.193	737.063	2680.130	3068.911	2994.996	1987.343	
JABAHRAH.mat	"ah22"	1307.940	1448.246	740.715	621.811	655.379	939.180	1899.423	1462.835	1272.092	2922.688	
KALO.mat	"a22"	474.761	653.482	896.316	841.985	896.984	949.209	2317.023	1746.475	1951.337	3261.473	
KALO.mat	"o22"	724.088	969.003	782.596	761.033	742.782	841.773	3029.010	3013.631	2903.174	3178.084	
KORULAH.mat	"o22"	521.070	683.445	535.360	531.979	603.070	473.424	2615.764	2975.351	3185.174	1707.055	
KORULAH.mat	"u22"	753.034	912.831	449.666	422.228	443.971	482.486	3016.204	2977.923	3006.449	3063.375	
KORULAH.mat	"ah22"	1003.040	1149.950	784.286	747.518	739.734	867.360	3436.536	3517.184	3356.618	3433.568	
LOTI.mat	"o22"	271.747	457.860	662.535	702.998	624.767	653.011	3041.920	2971.136	3145.528	2975.392	
LOTI.mat	"i22"	612.955	785.498	638.514	422.267	327.753	1160.374	2821.988	2710.776	2717.614	3035.979	
MALAX2.mat	MALAX2.mat	1.000	737.000	1032.374	891.998	812.798	1418.859	2283.841	2639.332	1961.530	2298.535	
MALU.mat	"a22"	409.657	667.356	1074.163	1119.379	1083.862	1018.864	2803.895	3109.804	2018.395	3262.612	
MALU.mat	"u22"	760.474	925.056	503.090	500.707	447.312	559.612	3237.998	3253.380	3286.189	3177.925	
MARILAH.mat	"a22"	194.592	320.286	615.781	503.017	680.603	662.794	1527.802	1395.820	1490.370	1693.753	
MARILAH.mat	"i22"	388.964	521.136	345.371	363.099	337.960	334.812	2702.490	2637.664	2699.684	2769.291	
MARILAH.mat	"ah22"	610.547	742.719	803.994	699.495	811.374	901.646	3038.452	2378.614	3316.056	3433.377	
MARILAH2.mat	"a22"	164.789	316.398	586.644	466.532	596.201	698.632	1478.105	1348.050	1452.485	1633.623	
MARILAH2.mat	"i22"	394.147	526.319	342.348	358.397	336.804	331.657	2714.092	2657.344	2701.346	2782.121	
MARILAH2.mat	"ah22"	624.801	738.832	827.450	777.845	811.856	892.205	3179.563	2790.318	3321.716	3435.995	
MARILAH3.mat	"a22"	598.157	746.091	811.414	705.736	1004.593	725.857	1499.119	1591.034	1250.922	1651.586	
MARILAH3.mat	"i22"	849.645	953.199	351.008	352.134	348.615	352.317	2637.447	2597.005	2619.900	2694.544	
MARILAH3.mat	"ah22"	1039.000	1154.389	861.129	708.320	851.575	1024.924	2799.767	2019.282	3114.694	3273.506	
MAROE.mat	"a22"	226.185	367.993	1096.085	1115.875	1259.843	915.223	3055.153	3381.923	3396.565	2388.920	
MAROE.mat	"o22"	480.121	608.737	646.392	688.884	598.340	646.757	2744.933	3185.478	2876.387	2137.506	
MAROE.mat	"e22"	608.737	811.556	762.585	528.326	500.336	1248.046	2647.175	2259.058	2624.993	3051.215	
MAROE3.mat	"a22"	575.239	732.716	885.115	733.079	1155.870	763.756	2348.056	1937.719	3282.570	1837.774	
MAROE3.mat	"o22"	829.827	987.304	609.460	576.113	649.313	604.420	2664.308	3140.296	3043.570	1816.158	
MAROE3.mat	"e22"	987.304	1157.904	644.778	547.376	509.337	872.976	2474.551	2417.244	2413.795	2590.805	
MRELE.mat	"e22"	334.521	518.158	573.819	563.326	550.560	606.970	2169.321	2133.877	2231.449	2145.678	
MRELE.mat	"e22"	598.499	762.050	950.696	756.303	569.136	1523.337	2531.745	2396.742	2328.539	2868.282	
MXXRAHD.mat	"xx22"	1000.909	1116.997	542.173	577.898	554.567	496.521	2194.690	3133.195	2211.039	1236.204	
MXXRAHD.mat	"ah22"	1242.016	1451.868	755.401	820.241	689.825	754.969	1989.302	2558.697	1466.804	1924.819	
NATORE.mat	"ah22"	164.661	273.258	1036.259	1022.672	1128.604	960.159	1880.361	2005.520	1435.372	2178.632	
NATORE.mat	"o22"	413.529	562.849	598.470	631.980	567.333	595.155	2991.250	2767.168	3373.475	2839.367	
NATORE.mat	"e22"	651.839	795.126	682.790	512.548	551.170	976.159	2342.480	2143.799	2271.243	2606.248	
ORDU.mat	"o22"	59.735	237.512	622.579	556.068	744.475	568.597	2026.845	1157.137	2885.219	2024.108	
ORDU.mat	"u22"	388.812	535.383	425.324	395.703	478.995	400.753	2675.050	2294.561	2585.718	3152.482	
PAGAH.mat	"a22"	504.404	726.266	870.293	967.933	975.859	669.343	1999.398	1766.548	1969.987	2257.747	
