Filename,Segment,F1,F2
heyVÂNAW-heranimal_beast,ej13r,412.3051725,2309.732325
heyVÂNAW-heranimal_beast,ɑ33r,560.6276908,1132.827961
heyVÂNAW-heranimal_beast,æ33s,715.6185855,1349.682176
heyVÂNAX-youranimal_beast-female,ej13r,404.1855355,2210.110852
heyVÂNAX-youranimal_beast-female,ɑ33r,473.6043897,1157.62947
heyVÂNAX-youranimal_beast-female,æ33s,691.3112953,1506.361487
heyVÂNEW-hisanimal_beast,ej13r,377.769457,2385.555868
heyVÂNEW-hisanimal_beast,ɑ33r,434.1298066,1136.101347
heyVÂNEW-hisanimal_beast,ɛ33s,529.4106206,1891.694862
heyVÂNI-myanimal_beast,ej13r,373.928432,2418.276483
heyVÂNI-myanimal_beast,ɑ33r,517.7983394,1061.316254
heyVÂNI-myanimal_beast,i33s,350.6045518,2575.451792
heyVÂNOX-youranimal_beast-male,ej13r,371.8169345,2324.946324
heyVÂNOX-youranimal_beast-male,ɑ33r,487.761568,1006.058359
heyVÂNOX-youranimal_beast-male,ø33s,407.7692718,882.54107
heyWÂNAN-ouranimal_beast,ej13r,365.7055168,2407.905029
heyWÂNAN-ouranimal_beast,ɑ33r,554.3946857,1113.061797
heyWÂNAN-ouranimal_beast,æ33s,599.9406079,1490.083903
heyWÂNU-theiranimal_beast,ej13r,366.081113,2429.454816
heyWÂNU-theiranimal_beast,ɑ33r,398.2884444,990.6923731
heyWÂNU-theiranimal_beast,y33s,346.6245953,1042.283299
