Filename,Segment,F1,F2
MŪHUNÂ-excŪse_s1,ɑ22,494.7750607,1268.708089
NATORE-toguard_s1,ɑ22,696.4828815,1535.174312
NATORE-toguard_s1,ø22,434.2291143,958.4348097
NATORE-toguard_s1,ɛ22,473.7320877,1938.057859
ORDU-army_camp_s1,ø22,442.7980603,1080.745963
ORDU-army_camp_s1,ʉ22,363.2716404,1301.590272
PAGÂ-stable_cow-shed_s1,æ22,767.351154,1525.962317
PAGÂ-stable_cow-shed_s1,ɑ22,542.2444201,1137.776556
PASOXE-joy_s1,æ22,582.1158836,1552.037532
PASOXE-joy_s1,ø22,427.7450856,859.3220903
PASOXE-joy_s1,ɛ22,469.1648887,2073.581858
PYÂLÂ-glass_s1,i22,351.9788878,2379.550174
PYÂLÂ-glass_s1,ɑ22,560.8705308,1133.454701
PYÂLÂ-glass_s1,ɑ22,660.7901316,1285.66429
PĒLIMÂ-crooked_dishonest_s1,ē22,409.6576968,1079.414763
PĒLIMÂ-crooked_dishonest_s1,i22,374.5443008,2493.831804
PĒLIMÂ-crooked_dishonest_s1,ɑ22,649.1452614,1139.364167
QETRÂ-knot_s1,ɛ22,526.3138083,1455.344459
QETRÂ-knot_s1,ɑ22,596.5296701,1225.845512
QETRÂ2_s1,ɛ22,510.8310936,1387.660088
QETRÂ2_s1,ɑ22,629.0930452,1245.416377
QIRÂ-tar_pitch_s1,i22,388.2620797,2454.905355
QIRÂ-tar_pitch_s1,ɑ22,603.2026309,1248.605242
QĖNYÂ-bruise_s1,ə22,528.4568322,1509.621202
QĖNYÂ-bruise_s1,ɑ22,754.7352975,1535.719276
QĖTTÂ-piece_s1,ə22,514.9622282,1427.057258
QĖTTÂ-piece_s1,ɑ22,642.998787,1272.333293
RABTÂ-big_s1,æ22,656.9866536,1485.91488
RABTÂ-big_s1,ɑ22,608.7534535,1199.244156
REŠÂ-shewakes_s1,ɛ22,430.9755127,2057.183802
REŠÂ-shewakes_s1,ɑ22,632.2283034,1449.518767
RUB-quarter_s1,ʉ22,394.2324607,1088.257978
RUB2_s1,ʉ22,336.5777307,1074.089416
RUZI-salary_s1,ʉ22,363.5753871,1223.183621
RUZI-salary_s1,i22,330.0661155,2441.825854
SALOE-topray_s1,æ22,625.2717541,1267.512955
